,event,code,prizepool,date,location,nteams
113,americas-minor-north-america-closed-qualifier-iem-katowice-2019,4135,6 spots at Minor,Dec 12th,North America (Online),16
114,geeks-gone-wild-24-denmark-qualifier,4320,2 spots at GGW #24,Dec 13th 2018,Denmark (Online),4+
115,europe-minor-closed-qualifier-iem-katowice-2019,4125,8 spots at Minor,Dec 12th,Europe (Online),16
116,esea-open-season-29-latin-america,4298,"$1,200",Dec 6th,Online (Latin America),4
117,cgl-copa-ignus-2018,4295,$400,Dec 5th,South America (Online),4
118,esea-advanced-season-29-europe,4228,"$11,500",Nov 29th,Europe (Online),16+
119,lootbet-cup-3-finals,4221,"$13,000",Dec 9th,Europe (Online),4
120,bucharest-gaming-week-invitational-by-esl,4272,"$57,000",Dec 9th 2018,"Bucharest, Romania",4
121,meta-18-winter,4304,"$1,500",Dec 9th 2018,"Minsk, Belarus",4
122,la-liga-open-2018-finals,4306,$530,Dec 8th,"Buenos Aires, Argentina",4
123,wesg-2018-south-africa,4284,"$2,000 + 1 spot at WESG 2018",Dec 8th,South Africa (Online),4+
124,dew-gamers-arena-2018,4301,"$8,627",Dec 7th,"Lahore, Pakistan",4
125,esea-mdl-season-29-global-challenge,4257,"$50,000",Dec 7th,"Dallas, Texas, USA",8
126,esl-pro-league-season-8-finals,3376,"$750,000",Dec 4th,"Odense, Denmark",16
127,kayzr-league-fall-split-2018-finals,4282,"$3,700",Dec 8th 2018,"Antwerp, Belgium",2
128,esl-southeast-europe-championship-season-8-finals,4278,"$11,400",Dec 8th 2018,"Bucharest, Romania",4
129,svenska-elitserien-2018,4302,"$33,379",Dec 7th,"Stockholm, Sweden",4+
130,fury-big-lan-cup,4303,"$1,583",Dec 7th 2018,"Moscow, Russia",4+
131,esea-mdl-season-29-north-america-relegation,4224,3 spots in MDL Season 30,Dec 4th,North America (Online),8
132,polish-esport-league-season-4,4299,1 spot at the offline finals,Dec 6th 2018,Poland (Online),3
133,esl-pro-league-season-8-north-america-relegation,4261,2 spots in ESL Pro League Season 9,Dec 5th,"Dallas, Texas, USA",4
134,esl-pro-league-season-8-europe-relegation,4260,2 spots in ESL Pro League Season 9,Dec 5th,"Dallas, Texas, USA",4
135,esea-mdl-season-29-north-america-finals,4259,1 spot in ESL Pro League Season 9,Dec 5th 2018,"Dallas, Texas, USA",2
136,esea-mdl-season-29-europe-finals,4258,1 spot in ESL Pro League Season,Dec 5th 2018,"Dallas, Texas, USA",2
137,moneyveo-cup,4296,"$1,050",Dec 5th 2018,Ukraine (Online),2
138,wesg-2018-south-west-asia,4285,1 spot at WESG 2018,Dec 5th 2018,Asia (Online),2
139,wesg-2018-east-europe,4014,1 spot at WESG 2018,Dec 4th 2018,Europe (Online),2
140,kalashnikov-cup,3977,"$10,000",Aug 20th,Europe (Online),16
141,esea-mdl-season-29-north-america-all-star-game,4293,"$6,250",Dec 2nd 2018,North America (Online),2
142,dreamhack-open-winter-2018,3430,"$100,000",Nov 30th,"Jönköping, Sweden",8
143,supernova-csgo-malta,4081,"$150,000",Nov 29th,"Saint Julian's, Malta",8
144,esea-advanced-season-29-north-america,4226,"$11,500",Nov 27th,North America (Online),16
145,cybergamer-premier-league-championship-2018-closed-qualifier,4234,4 spots in CGPL Champs 2018,Nov 18th,Oceania (Online),6+
146,esl-proximus-championship-winter-2018,4286,"$11,400",Dec 1st 2018,"Charleroi, Belgium",4
147,wesg-2018-brazil,4187,1 spot at WESG 2018 World Finals,Nov 30th,Brazil (Online),2
148,wesg-2018-brazil-qualifier-2,4186,1 spot at WESG 2018 Brazil Final,Nov 28th,Brazil (Online),4
149,wesg-2018-east-europe-qualifier-2,3386,1 spot at WESG 2018 East Europe,Nov 28th,Europe (Online),4+
150,bucharest-gaming-week-invitational-by-esl-closed-qualifier,4276,1 spot at BGW Invitational,Nov 26th,Europe (Online),8
151,wesg-2018-north-europe-qualifier-2,4280,1 spot at WESG 2018,Nov 28th 2018,Europe (Online),4+
152,wesg-2018-north-west-europe-qualifier-2,4279,1 spot at WESG 2018 North-West Europe,Nov 27th,Europe (Online),4+
153,esl-southeast-europe-championship-season-8,4277,2 spots at LAN finals,Nov 26th,Europe (Online),4+
154,americas-minor-north-america-open-qualifier-4-iem-katowice-2019,4134,2 spots in Closed Qualifier,Nov 26th,North America (Online),8+
155,wesg-2018-east-europe-qualifier-1,4263,1 spot at WESG 2018 East Europe,Nov 20th,Europe (Online),4+
156,fcsm-open-cup,4275,"$1,800",Nov 25th 2018,"Moscow, Russia",4+
157,epiclan-csgo-championship,4274,"$6,400",Nov 25th 2018,"Coventry, United Kingdom",8
158,wesg-2018-ukraine-qualifier-3,4269,TBA,Nov 25th 2018,Ukraine (Online),4
159,europe-minor-open-qualifier-4-iem-katowice-2019,4124,2 spots in Closed Qualifier,Nov 24th,Europe (Online),16+
160,telenor-league-fall-2018-finals,4264,"$16,250",Nov 24th,"Lillehammer, Norway",4
161,toyota-master-bangkok-2018,4009,"$100,000",Nov 22nd,"Bangkok, Thailand",10
162,ecs-season-6-finals,4083,"$660,000",Nov 22nd,"Arlington, Texas, USA",8
163,alienware-liga-pro-gamers-club-nov-18,4262,"$1,200",Nov 20th,South America (Online),8
164,a1-adria-league-season-2-finals,4252,"$11,400",Nov 24th 2018,"Zagreb, Croatia",4
165,esl-dutch-championship-winter-2018-finals,4245,"$6,000",Nov 24th 2018,"Vijfhuizen, Netherlands",2+
166,esea-open-season-29-brazil,4230,"$2,500",Nov 21st,Brazil (Online),16
167,wesg-2018-central-europe-iberia,4271,1 spot at WESG 2018,Nov 23rd 2018,Europe (Online),2
168,wesg-2018-central-europe-iberia-qualifier-2,4270,1 spot at WESG 2018 Central Europe & Iberia,Nov 22nd 2018,Europe (Online),4+
169,99damage-league-season-10,4251,"$11,400",Nov 20th,Germany (Online),4
170,wesg-2018-ukraine-qualifier-2,4266,1 spot at WESG 2018 Ukraine,Nov 21st 2018,Ukraine (Online),4
171,wesg-2018-south-america-qualifier-2,4189,1 spot at WESG 2018 World Finals,Nov 19th,South America (Online),4
172,wesg-2018-mexico-central-america,4192,1 spot at WESG 2018 World Finals,Nov 20th 2018,Central America (Online),2
173,plg-grand-slam-2018-europe-open-qualifier,4254,1 spot at PLG Grand Slam 2018,Nov 19th,Europe (Online),8+
174,wesg-2018-east-asia,4255,1 spot at WESG 2018,Nov 19th 2018,East Asia (Online),2
175,asia-minor-oceania-closed-qualifier-iem-katowice-2019,4141,2 spots at Minor,Nov 18th,Oceania (Online),8
176,wesg-2018-africa,4253,1 spot at WESG 2018,Nov 18th 2018,Africa (Online),2
177,asian-development-league-season-1,4247,"$19,810",Nov 17th,Asia (Online),4
178,java-cup-1,4256,"$1,875",Nov 17th,"Carrollton, Texas, USA",4+
179,master-league-portugal-season-ii,4249,"$10,000",Nov 17th,"Lisbon, Portugal",4
180,americas-minor-south-america-closed-qualifier-iem-katowice-2019,4138,2 spots at Minor,Nov 17th,South America (Online),8
181,cis-minor-closed-qualifier-iem-katowice-2019,4130,8 spots at Minor,Nov 17th,CIS (Online),16
182,omen-uk-open,4241,"$12,500",Nov 17th,United Kingdom (Online),4
183,dreamhack-open-atlanta-2018,3429,"$100,000",Nov 16th,"Atlanta, Georgia, USA",8
184,wesg-2018-serbia,4250,$857 + 1 spot at WESG 2018,Nov 17th 2018,"Belgrade, Serbia",4+
185,wesg-2018-kyrgyzstan-qualifier,4248,1 spot at WESG 2018 Central Asia,Nov 17th 2018,Kyrgyzstan (Online),2
186,plg-grand-slam-2018-oceania-open-qualifier,4198,1 spot at PLG Grand Slam,Nov 16th,Online (Oceania),8+
187,asia-minor-china-closed-qualifier-iem-katowice-2019,4144,2 spots at Minor,Nov 15th,China (Online),9
188,asia-minor-middle-east-closed-qualifier-iem-katowice-2019,4153,1 spot at Minor,Nov 15th,Middle East (Online),8
189,asia-minor-east-asia-closed-qualifier-iem-katowice-2019,4150,2 spots at Minor,Nov 15th,Asia (Online),8
190,asia-minor-sea-closed-qualifier-iem-katowice-2019,4147,1 spot at Minor,Nov 15th,SEA (Online),8
191,wesg-2018-poland-qualifier-2,4238,1 spot at WESG 2018 Poland,Nov 14th,Poland (Online),4+
192,wesg-2018-uzbekistan,4246,1 spot at WESG 2018 Central Asia,Nov 15th 2018,"Tashkent, Uzbekistan",2
193,wesg-2018-ukraine-qualifier-1,4242,1 spot at WESG 2018 Ukraine,Nov 15th 2018,Ukraine (Online),4
194,alienware-liga-pro-gamers-club-oct-18,4155,"$1,200",Oct 31st,South America (Online),8
195,esea-mdl-season-29-europe,3964,TBA,Sep 18th,Europe (Online),24
196,esea-mdl-season-29-north-america,3965,"$2,500 + 3 spots at MDL Global Challenge",Sep 17th,North America (Online),20
197,esl-latin-america-league-season-2-finals,4118,"$5,000",Nov 14th 2018,São Paulo,2
198,wesg-2018-north-west-europe-qualifier-1,4239,1 spot at WESG 2018 North-West Europe,Nov 14th 2018,Europe (Online),4+
199,wesg-2018-north-europe-qualifier-1,4237,1 spot at WESG 2018,Nov 14th 2018,Europe (Online),4+
200,wesg-2018-brazil-qualifier-1,4185,1 spot at WESG 2018 Brazil Final,Nov 13th,Brazil (Online),4
201,ecs-season-6-europe,4071,"$45,000 + 4 Finals spots",Oct 3rd,Europe (Online),10
202,esl-pro-league-season-8-north-america,3375,"$87,000",Oct 2nd,North America (Online),12
203,esl-pro-league-season-8-europe,3374,"$105,000",Oct 2nd,Europe (Online),14
204,asia-minor-oceania-open-qualifier-2-iem-katowice-2019,4140,2 spots in Closed Qualifier,Nov 13th 2018,Oceania (Online),8+
205,wesg-2018-mexico-central-america-qualifier-2,4191,1 spot at WESG 2018 Mexico & Central America Final,Nov 11th,Central America (Online),4
206,cis-minor-open-qualifier-4-iem-katowice-2019,4129,2 spots in Closed Qualifier,Nov 12th 2018,CIS (Online),8+
207,europe-minor-open-qualifier-3-iem-katowice-2019,4123,2 spots in Closed Qualifier,Nov 10th,Europe (Online),16+
208,esl-turkey-championship-2018-finals,4231,"$10,000",Nov 11th 2018,"Istanbul, Turkey",2
209,wesg-2018-kazakhstan-regional-finals,4220,"$5,400 + 1 spot at WESG 2018 Central Asia",Nov 11th 2018,"Almaty, Kazakhstan",2
210,toyota-master-bangkok-2018-thailand-qualifier,4166,1 spot at Toyota Master Bangkok 2018,Nov 10th,"Bangkok, Thailand",4+
211,nsg-academy-underwatch,4233,"$4,350",Nov 10th,"Boston, Massachusetts, USA",4+
212,americas-minor-north-america-open-qualifier-3-iem-katowice-2019,4133,2 spots in Closed Qualifier,Nov 10th,North America (Online),8+
213,esl-australia-nz-championship-season-7-finals,4094,"$14,166",Nov 9th,"Brisbane, Australia",8
214,wesg-2018-united-states-regional-finals-female,4219,"$38,000",Nov 9th,"Los Angeles, California, USA",2+
215,wesg-2018-united-states-regional-finals,4055,"$38,000",Nov 9th,"Los Angeles, California, USA",4
216,gamecon-braslia-2018,4106,1 spot at  Starseries i-league Season 7,Nov 9th,"Brasília, Distrito Federal",4
217,czech-championship-2018,4223,"$4,500",Nov 9th,"Brno, Czech Republic",6+
218,iesf-world-championship-2018,3858,"$20,000",Nov 9th,"Kaohsiung, Taiwan",26
219,iem-chicago-2018,3954,"$250,000",Nov 6th,"Chicago, Illinois, USA",16
220,wesg-2018-hong-kong-regional-finals,4222,"$22,500 + 1 spot at WESG 2018 World Finals",Nov 10th 2018,Hong Kong,4
221,wesg-2018-africa-qualifier-2,4225,1 spot in WESG 2018 Africa,Nov 10th 2018,Online (Africa & Middle-East),2
222,wesg-2018-south-america-qualifier-1,4188,1 spot at WESG 2018 World Finals,Nov 9th,South America (Online),4
223,plg-grand-slam-2018-levant-africa-open-qualifier,4200,1 spot at PLG Grand Slam,Nov 8th 2018,Africa (Online),4+
224,asia-minor-middle-east-open-qualifier-2-iem-katowice-2019,4152,2 spots in Closed Qualifier,Nov 8th 2018,Middle East (Online),4+
225,lpl-pro-anz-invitational-finals,4218,"$6,650",Nov 7th,"Auckland, New Zealand",3
226,grand-hotshots,4172,"$17,200",Nov 5th,Europe (Online),16
227,lootbet-cup-3,4203,4 spots at the offline finals,Nov 1st,Europe (Online),8
228,lpl-pro-anz-invitational,4082,3 spots for LPL Pro Finals,Oct 4th,Online,6
229,ecs-season-6-north-america,4072,"$45,000 + 4 Finals spots",Oct 3rd,North America (Online),10
230,cis-minor-open-qualifier-3-iem-katowice-2019,4128,2 spots in Closed Qualifier,Nov 7th 2018,CIS (Online),8+
231,wesg-2018-mexico-central-america-qualifier-1,4190,1 spot at WESG 2018 Mexico & Central America Final,Nov 6th,Central America (Online),4
232,esl-latin-america-league-season-2,4117,"$5,000",Oct 29th,South America (Online),8
233,esea-mdl-season-29-australia,3966,"$6,000 + 1 spot at MDL Global Challenge",Sep 18th,Australia (Online),17
234,asia-minor-east-asia-open-qualifier-2-iem-katowice-2019,4149,2 spots in Closed Qualifier,Nov 6th 2018,Asia (Online),8+
235,asia-minor-sea-open-qualifier-2-iem-katowice-2019,4146,2 spots in Closed Qualifier,Nov 6th 2018,SEA (Online),8+
236,asia-minor-china-open-qualifier-2-iem-katowice-2019,4143,2 spots in Closed Qualifier,Nov 6th 2018,China (Online),8+
237,plg-grand-slam-2018-india-sea-open-qualifier,4199,1 spot at PLG Grand Slam,Nov 5th,Online (Asia),8+
238,esl-pro-league-season-8-asia,4044,1 spot at ESL Pro League Season 8 Finals,Nov 1st,Asia (Online),4
239,gfinity-spring-series-2018-europe,4051,"$15,000",Sep 17th,Europe (Online),16
240,wesg-2018-oceania-regional-finals,4159,"$5,691 + 1 spot at WESG 2018 World Finals",Nov 4th 2018,"Adelaide, Australia",2
241,wesg-2018-africa-qualifier-1,4217,1 spot in WESG 2018 Africa,Nov 4th 2018,Africa (Online),2+
242,americas-minor-south-america-open-qualifier-2-iem-katowice-2019,4137,2 spots in Closed Qualifier,Nov 3rd,South America (Online),8+
243,cs-summit-3,4162,"$150,000",Nov 1st,"Los Angeles, California, USA",8
244,wesg-2018-poland-qualifier-1,4211,1 spot in WESG 2018 Poland,Oct 31st,Poland (Online),4+
245,wesg-2018-central-europe-iberia-qualifier-1,4216,1 spot at WESG 2018 Central Europe & Iberia,Nov 3rd 2018,Europe (Online),4+
246,wesg-2018-east-asia-qualifier-1,4215,1 spot in WESG 2018 East Asia,Nov 3rd 2018,East Asia (Online),2
247,fortuna-cool-league-season-4-finals,4213,"$3,520",Nov 3rd 2018,"Prague, Czech Republic",4
248,fpsthailand-pro-league-season-5-finals,4214,"$13,657",Nov 2nd,"Bangkok, Thailand",6
249,cis-minor-open-qualifier-2-iem-katowice-2019,4127,2 spots in Closed Qualifier,Nov 2nd,CIS (Online),8+
250,blast-pro-series-copenhagen-2018,3701,"$250,000",Nov 2nd,"Copenhagen, Denmark",6
251,assembly-gamexpo-2018,4204,"$22,700",Nov 2nd,"Helsinki, Finland",4
252,a1-adria-league-season-2,4201,2 spots in offline finals,Oct 30th,Adria (Online),4
253,asia-minor-sea-open-qualifier-1-iem-katowice-2019,4145,2 spots in Closed Qualifier,Nov 2nd 2018,SEA (Online),4+
254,asia-minor-oceania-open-qualifier-1-iem-katowice-2019,4139,2 spots in Closed Qualifier,Nov 2nd 2018,Oceania (Online),8+
255,baltic-esports-league-finals,4212,"$4,275",Nov 2nd 2018,"Vilnius, Lithuania",2
256,asia-minor-middle-east-open-qualifier-1-iem-katowice-2019,4151,2 spots in Closed Qualifier,Nov 2nd 2018,Middle East (Online),4+
257,plg-grand-slam-2018-north-america-open-qualifier,4195,1 spot at PLG Grand Slam,Nov 1st,North America (Online),4+
258,asia-minor-east-asia-open-qualifier-1-iem-katowice-2019,4148,2 spots in Closed Qualifier,Nov 1st 2018,Asia (Online),4+
259,asia-minor-china-open-qualifier-1-iem-katowice-2019,4142,2 spots in Closed Qualifier,Nov 1st 2018,China (Online),4+
260,gfinity-spring-series-2018-north-america,4052,"$15,000",Sep 12th,North America (Online),16
