,matchcode,team,map,priority
156,2331048,Cloud9,Overpass,5
157,2331048,MIBR,Mirage,6
158,2331049,Astralis,Cache,1
159,2331049,Astralis,Overpass,2
160,2331049,compLexity,Dust2,3
161,2331049,compLexity,Inferno,4
162,2331049,compLexity,Mirage,5
163,2331049,Astralis,Train,6
164,2331046,NRG,Dust2,1
165,2331046,NRG,Train,2
166,2331046,NiP,Overpass,3
167,2331046,NiP,Inferno,4
168,2331046,NiP,Cache,5
169,2331046,NRG,Mirage,6
170,2331047,Liquid,Train,1
171,2331047,Liquid,Mirage,2
172,2331047,AVANGAR,Nuke,3
173,2331047,AVANGAR,Cache,4
174,2331047,AVANGAR,Inferno,5
175,2331047,Liquid,Dust2,6
176,2331044,G2,Train,1
177,2331044,G2,Mirage,2
178,2331044,Natus Vincere,Dust2,3
179,2331044,Natus Vincere,Cache,4
180,2331044,Natus Vincere,Nuke,5
181,2331044,G2,Overpass,6
182,2331045,FaZe,Inferno,1
183,2331045,FaZe,Overpass,2
184,2331045,HellRaisers,Nuke,3
185,2331045,HellRaisers,Cache,4
186,2331045,HellRaisers,Mirage,5
187,2331045,FaZe,Dust2,6
188,2331042,Renegades,Overpass,1
189,2331042,Renegades,Nuke,2
190,2331042,ENCE,Cache,3
191,2331042,ENCE,Mirage,4
192,2331042,ENCE,Train,5
193,2331042,Renegades,Dust2,6
194,2331043,Vitality,Train,1
195,2331043,Vitality,Cache,2
196,2331043,BIG,Nuke,3
197,2331043,BIG,Inferno,4
198,2331043,BIG,Overpass,5
199,2331043,Vitality,Dust2,6
200,2331203,AGO,Nuke,1
201,2331203,Sprout,Overpass,2
202,2331203,AGO,Dust2,5
203,2331203,Sprout,Train,6
204,2331200,3DMAX,Train,1
205,2331200,Windigo,Nuke,2
206,2331200,3DMAX,Dust2,5
207,2331200,Windigo,Mirage,6
208,2331201,LDLC,Train,1
209,2331201,Valiance,Overpass,2
210,2331201,LDLC,Nuke,5
211,2331201,Valiance,Inferno,6
212,2331202,x6tence Galaxy,Dust2,1
213,2331202,Uruguay,Inferno,2
214,2331202,x6tence Galaxy,Train,5
215,2331202,Uruguay,Nuke,6
216,2331154,3DMAX,Train,1
217,2331154,Vexed,Dust2,2
218,2331154,3DMAX,Overpass,3
219,2331154,Vexed,Nuke,4
220,2331139,Valiance,Overpass,1
221,2331139,AGO,Nuke,2
222,2331139,Valiance,Inferno,3
223,2331139,AGO,Mirage,4
224,2331138,x6tence Galaxy,Train,1
225,2331138,Sprout,Mirage,2
226,2331138,x6tence Galaxy,Dust2,3
227,2331138,Sprout,Overpass,4
228,2330366,Red Reserve,Nuke,1
229,2330366,x6tence Galaxy,Dust2,2
230,2330366,Red Reserve,Inferno,3
231,2330366,x6tence Galaxy,Train,4
232,2331135,Windigo,Nuke,1
233,2331135,expert,Overpass,2
234,2331135,Windigo,Mirage,3
235,2331135,expert,Dust2,4
236,2331134,ALTERNATE aTTaX,Dust2,1
237,2331134,Windigo,Nuke,2
238,2331134,ALTERNATE aTTaX,Overpass,3
239,2331134,Windigo,Inferno,4
240,2331133,expert,Mirage,1
241,2331133,EURONICS,Cache,2
242,2331133,expert,Overpass,3
243,2331133,EURONICS,Inferno,4
244,2331132,Valiance,Overpass,1
245,2331132,ALTERNATE aTTaX,Nuke,2
246,2331132,Valiance,Inferno,3
247,2331132,ALTERNATE aTTaX,Dust2,4
248,2331091,LDLC,Train,1
249,2331091,AGO,Nuke,2
250,2331091,LDLC,Inferno,3
251,2331091,AGO,Cache,4
252,2331090,Valiance,Overpass,1
253,2331090,Tricked,Dust2,2
254,2331090,Valiance,Inferno,3
255,2331090,Tricked,Cache,4
256,2331089,Valiance,Inferno,1
257,2331089,Sprout,Cache,2
258,2331089,Valiance,Train,3
259,2331089,Sprout,Overpass,4
260,2330946,Vexed,Dust2,1
261,2330946,3DMAX,Train,2
262,2330946,Vexed,Nuke,3
263,2330946,3DMAX,Overpass,4
264,2330945,EURONICS,Inferno,1
265,2330945,Windigo,Nuke,2
266,2330945,EURONICS,Cache,3
267,2330945,Windigo,Mirage,4
268,2330944,Windigo,Nuke,1
269,2330944,LDLC,Train,2
270,2330944,Windigo,Cache,3
271,2330944,LDLC,Mirage,4
272,2330943,Tricked,Dust2,1
273,2330943,EURONICS,Inferno,2
274,2330943,Tricked,Nuke,3
275,2330943,EURONICS,Train,4
276,2330729,AGO,Nuke,1
277,2330729,HAVU,Overpass,2
278,2330729,AGO,Mirage,3
279,2330729,HAVU,Train,4
280,2330942,Red Reserve,Nuke,1
281,2330942,LDLC,Mirage,2
282,2330942,Red Reserve,Inferno,3
283,2330942,LDLC,Train,4
