,matchcode,team,map,priority
152,2330514,HAVU,Mirage,5
153,2330514,Tricked,Train,6
154,2330513,AGO,Mirage,5
155,2330513,x6tence Galaxy,Overpass,6
156,2330512,3DMAX,Mirage,5
157,2330512,Sprout,Dust2,6
158,2330511,ALTERNATE aTTaX,Inferno,5
159,2330511,LDLC,Cache,6
160,2330405,Valiance,Mirage,5
161,2330405,HAVU,Dust2,6
162,2330404,3DMAX,Mirage,5
163,2330404,EURONICS,Overpass,6
164,2330422,HAVU,Mirage,5
165,2330422,AGO,Train,6
166,2330421,Windigo,Dust2,5
167,2330421,EURONICS,Overpass,6
168,2330403,LDLC,Cache,5
169,2330403,Valiance,Inferno,6
170,2330402,Sprout,Cache,5
171,2330402,Vexed,Inferno,6
172,2330420,LDLC,Cache,5
173,2330420,Windigo,Overpass,6
174,2330401,Valiance,Mirage,5
175,2330401,x6tence Galaxy,Nuke,6
176,2330400,EURONICS,Mirage,5
177,2330400,Red Reserve,Dust2,6
178,2330015,Vexed,Overpass,5
179,2330015,Windigo,Cache,6
180,2330399,ALTERNATE aTTaX,Overpass,5
181,2330399,EURONICS,Dust2,6
182,2330398,expert,Cache,5
183,2330398,3DMAX,Inferno,6
184,2330397,LDLC,Dust2,5
185,2330397,Red Reserve,Cache,6
186,2330396,AGO,Mirage,5
187,2330396,Red Reserve,Overpass,6
188,2330010,3DMAX,Inferno,5
189,2330010,LDLC,Dust2,6
190,2330395,expert,Cache,5
191,2330395,AGO,Train,6
192,2330367,Vexed,Mirage,5
193,2330367,Tricked,Inferno,6
194,2330365,LDLC,Dust2,5
195,2330365,EURONICS,Mirage,6
196,2330364,Tricked,Overpass,5
197,2330364,3DMAX,Dust2,6
198,2330360,AGO,Train,5
199,2330360,Vexed,Overpass,6
200,2330359,Red Reserve,Overpass,5
201,2330359,3DMAX,Dust2,6
202,2330358,Sprout,Mirage,5
203,2330358,HAVU,Dust2,6
204,2330357,x6tence Galaxy,Inferno,5
205,2330357,expert,Cache,6
206,2330335,LDLC,Inferno,5
207,2330335,Vexed,Mirage,6
208,2330334,x6tence Galaxy,Overpass,5
209,2330334,ALTERNATE aTTaX,Inferno,6
210,2330319,Tricked,Nuke,5
211,2330319,Red Reserve,Dust2,6
212,2330318,AGO,Cache,5
213,2330318,Sprout,Inferno,6
214,2330317,HAVU,Dust2,5
215,2330317,expert,Train,6
216,2330011,Red Reserve,Dust2,5
217,2330011,Sprout,Train,6
218,2330299,expert,Train,5
219,2330299,Tricked,Inferno,6
220,2330298,x6tence Galaxy,Overpass,5
221,2330298,AGO,Mirage,6
222,2330297,Sprout,Dust2,5
223,2330297,Tricked,Inferno,6
224,2330272,HAVU,Nuke,5
225,2330272,EURONICS,Mirage,6
226,2330271,Red Reserve,Cache,5
227,2330271,Vexed,Mirage,6
228,2330270,x6tence Galaxy,Inferno,5
229,2330270,3DMAX,Mirage,6
230,2330269,HAVU,Dust2,5
231,2330269,Valiance,Cache,6
232,2330204,expert,Train,5
233,2330204,Vexed,Inferno,6
234,2330203,EURONICS,Mirage,5
235,2330203,Valiance,Nuke,6
236,2329638,x6tence Galaxy,Inferno,5
237,2329638,Vexed,Overpass,6
238,2330016,ALTERNATE aTTaX,Overpass,5
239,2330016,AGO,Inferno,6
240,2330178,3DMAX,Inferno,5
241,2330178,expert,Cache,6
242,2330171,ALTERNATE aTTaX,Cache,5
243,2330171,HAVU,Train,6
244,2330170,AGO,Inferno,5
245,2330170,expert,Train,6
246,2330019,Windigo,Cache,5
247,2330019,AGO,Overpass,6
248,2330018,EURONICS,Dust2,5
249,2330018,3DMAX,Inferno,6
250,2330017,Sprout,Train,5
251,2330017,Valiance,Dust2,6
252,2330041,3DMAX,Inferno,5
253,2330041,AGO,Dust2,6
254,2330014,Valiance,Mirage,5
255,2330014,Red Reserve,Nuke,6
256,2330013,ALTERNATE aTTaX,Dust2,5
257,2330013,Sprout,Mirage,6
258,2330012,Vexed,Inferno,5
259,2330012,EURONICS,Overpass,6
260,2329825,Vexed,Train,5
261,2329825,Red Reserve,Cache,6
262,2330009,ALTERNATE aTTaX,Nuke,5
263,2330009,Valiance,Dust2,6
264,2330008,Windigo,Cache,5
265,2330008,HAVU,Dust2,6
266,2330007,EURONICS,Inferno,5
267,2330007,x6tence Galaxy,Overpass,6
268,2330006,Valiance,Mirage,5
269,2330006,Vexed,Train,6
270,2330005,ALTERNATE aTTaX,Nuke,5
271,2330005,3DMAX,Mirage,6
272,2329826,Tricked,Mirage,5
273,2329826,x6tence Galaxy,Nuke,6
274,2329824,Tricked,Mirage,5
275,2329824,LDLC,Nuke,6
276,2329823,3DMAX,Dust2,5
277,2329823,Red Reserve,Mirage,6
278,2329822,expert,Nuke,5
279,2329822,ALTERNATE aTTaX,Mirage,6
280,2329821,x6tence Galaxy,Mirage,5
281,2329821,HAVU,Train,6
282,2329820,ALTERNATE aTTaX,Mirage,5
283,2329820,3DMAX,Dust2,6
284,2329819,EURONICS,Dust2,5
285,2329819,HAVU,Cache,6
286,2329818,Vexed,Mirage,5
287,2329818,expert,Train,6
288,2329634,Red Reserve,Overpass,5
289,2329634,EURONICS,Dust2,6
290,2329817,Red Reserve,Cache,5
291,2329817,AGO,Dust2,6
292,2329816,HAVU,Train,5
293,2329816,Vexed,Cache,6
294,2329815,AGO,Dust2,5
295,2329815,EURONICS,Inferno,6
296,2329814,Windigo,Mirage,5
297,2329814,ALTERNATE aTTaX,Train,6
298,2329813,Red Reserve,Dust2,5
299,2329813,HAVU,Cache,6
300,2329812,Vexed,Inferno,5
301,2329812,ALTERNATE aTTaX,Train,6
302,2329643,EURONICS,Inferno,5
303,2329643,Sprout,Nuke,6
304,2329642,Tricked,Train,5
305,2329642,HAVU,Nuke,6
306,2329641,EURONICS,Nuke,5
307,2329641,LDLC,Overpass,6
308,2329640,Tricked,Mirage,5
309,2329640,ALTERNATE aTTaX,Inferno,6
310,2329639,expert,Cache,5
311,2329639,Windigo,Inferno,6
312,2329637,Sprout,Train,5
313,2329637,Windigo,Cache,6
314,2329636,Valiance,Dust2,5
315,2329636,expert,Train,6
316,2329635,Vexed,Mirage,5
317,2329635,x6tence Galaxy,Inferno,6
318,2329633,HAVU,Dust2,5
319,2329633,Sprout,Nuke,6
320,2329631,Red Reserve,Dust2,5
321,2329631,Windigo,Mirage,6
322,2329630,Valiance,Cache,5
323,2329630,EURONICS,Dust2,6
324,2329629,Sprout,Inferno,5
325,2329629,AGO,Mirage,6
326,2329628,AGO,Train,5
327,2329628,Tricked,Mirage,6
328,2329515,3DMAX,Inferno,5
329,2329515,Tricked,Mirage,6
330,2329514,EURONICS,Dust2,5
331,2329514,AGO,Overpass,6
332,2329513,HAVU,Cache,5
333,2329513,3DMAX,Mirage,6
334,2329512,Windigo,Train,5
335,2329512,Vexed,Inferno,6
336,2329511,expert,Train,5
337,2329511,Red Reserve,Cache,6
338,2329510,AGO,Inferno,5
339,2329510,Windigo,Train,6
340,2329509,3DMAX,Inferno,5
341,2329509,Valiance,Cache,6
342,2329508,AGO,Mirage,5
343,2329508,ALTERNATE aTTaX,Train,6
344,2329506,LDLC,Nuke,5
345,2329506,Tricked,Mirage,6
346,2329462,expert,Cache,5
347,2329462,Sprout,Nuke,6
348,2329461,EURONICS,Inferno,5
349,2329461,Vexed,Cache,6
350,2329460,Sprout,Dust2,5
351,2329460,x6tence Galaxy,Mirage,6
352,2329443,Valiance,Mirage,5
353,2329443,LDLC,Dust2,6
354,2329442,x6tence Galaxy,Mirage,5
355,2329442,Red Reserve,Overpass,6
356,2329441,LDLC,Dust2,5
357,2329441,HAVU,Nuke,6
358,2329440,ALTERNATE aTTaX,Mirage,5
359,2329440,expert,Train,6
360,2329264,Windigo,Dust2,5
361,2329264,3DMAX,Inferno,6
362,2329263,EURONICS,Dust2,5
363,2329263,ALTERNATE aTTaX,Overpass,6
364,2329262,expert,Nuke,5
365,2329262,LDLC,Mirage,6
366,2329384,Red Reserve,Dust2,5
367,2329384,Tricked,Train,6
368,2329260,3DMAX,Mirage,5
369,2329260,x6tence Galaxy,Overpass,6
370,2329259,Vexed,Cache,5
371,2329259,Valiance,Train,6
372,2329258,Tricked,Train,5
373,2329258,expert,Nuke,6
374,2329257,LDLC,Cache,5
375,2329257,Sprout,Nuke,6
376,2329256,HAVU,Nuke,5
377,2329256,x6tence Galaxy,Mirage,6
378,2329255,Valiance,Dust2,5
379,2329255,Red Reserve,Cache,6
380,2329254,EURONICS,Dust2,5
381,2329254,Tricked,Nuke,6
382,2329253,Sprout,Nuke,5
383,2329253,ALTERNATE aTTaX,Train,6
384,2329252,Tricked,Train,5
385,2329252,Vexed,Inferno,6
386,2329251,Sprout,Nuke,5
387,2329251,LDLC,Mirage,6
388,2329250,HAVU,Dust2,5
389,2329250,Red Reserve,Mirage,6
390,2329249,Windigo,Cache,5
391,2329249,x6tence Galaxy,Mirage,6
392,2329248,LDLC,Train,5
393,2329248,3DMAX,Mirage,6
394,2329247,Windigo,Dust2,5
395,2329247,Valiance,Train,6
396,2331199,5POWER,Mirage,3
397,2331199,ViCi,Inferno,4
398,2331197,5POWER,Dust2,3
399,2331197,EHOME,Nuke,4
400,2331198,BTRG.IMBA,Cache,3
401,2331198,ViCi,Inferno,4
402,2330829,Winstrike,Nuke,3
403,2330829,Cloud9,Overpass,4
404,2330828,TYLOO,Mirage,3
405,2330828,G2,Dust2,4
406,2330827,NiP,Train,3
407,2330827,ViCi,Inferno,4
408,2330826,Cloud9,Mirage,3
409,2330826,FURIA,Inferno,4
410,2330825,fnatic,Mirage,3
411,2330825,G2,Dust2,4
412,2330824,NiP,Overpass,3
413,2330824,Vega Squadron,Train,4
414,2330823,Winstrike,Dust2,3
415,2330823,ENCE,Mirage,4
416,2330822,AVANGAR,Cache,3
417,2330822,TYLOO,Inferno,4
418,2330821,ViCi,Inferno,3
419,2330821,Vitality,Nuke,4
420,2330818,NRG,Inferno,3
421,2330818,TYLOO,Mirage,4
422,2330820,Spirit,Mirage,3
423,2330820,FURIA,Nuke,4
424,2330817,ENCE,Nuke,3
425,2330817,Renegades,Mirage,4
426,2330819,fnatic,Inferno,3
427,2330819,Grayhound,Overpass,4
428,2331030,Sprout,Dust2,3
429,2331030,expert,Cache,4
430,2330880,NoChance,Dust2,3
431,2330880,unknown,Train,4
432,2330865,3DMAX,Overpass,3
433,2330865,unknown,Train,4
434,2330864,NoChance,Overpass,3
435,2330864,AGO,Cache,4
436,2330846,forZe,Mirage,3
437,2330846,NoChance,Dust2,4
438,2330845,x6tence Galaxy,Overpass,3
439,2330845,unknown,Nuke,4
440,2330844,AGO,Train,3
441,2330844,ex-Fragsters,Dust2,4
442,2330843,Tricked,Nuke,3
443,2330843,3DMAX,Inferno,4
444,2330793,Epsilon,Inferno,3
445,2330793,AGO,Train,4
446,2330792,NoChance,Mirage,3
447,2330792,Windigo,Dust2,4
448,2330787,AGO,Overpass,3
449,2330787,unknown,Train,4
450,2330784,Windigo,Overpass,3
451,2330784,3DMAX,Inferno,4
452,2330786,NoChance,Cache,3
453,2330786,ALTERNATE aTTaX,Dust2,4
454,2330785,HAVU,Dust2,3
