,matchcode,map,team1,team2,score1,score2,eventcode,stars,date,mapnumber
2851,2327643,Cache,Liquid,Rogue,10,16,3375,1,21st of October 2018,1
2852,2327642,Train,MIBR,NRG,16,13,3375,3,21st of October 2018,1
2853,2327641,Dust2,Rogue,Liquid,2,16,3375,1,21st of October 2018,1
2854,2327640,Mirage,NRG,MIBR,14,16,3375,3,21st of October 2018,1
2855,2327639,Inferno,Cloud9,INTZ,16,6,3375,0,21st of October 2018,1
2856,2327638,Dust2,Liquid,MIBR,9,16,3375,4,21st of October 2018,1
2857,2327637,Train,INTZ,Cloud9,16,10,3375,0,21st of October 2018,1
2858,2327636,Inferno,MIBR,Liquid,16,1,3375,4,21st of October 2018,1
2859,2327635,Cache,eUnited,compLexity,16,11,3375,1,21st of October 2018,1
2860,2327634,Cache,INTZ,Envy,16,6,3375,0,21st of October 2018,1
2861,2327633,Mirage,compLexity,eUnited,9,16,3375,1,21st of October 2018,1
2862,2327632,Train,Envy,INTZ,3,16,3375,0,21st of October 2018,1
2863,2327631,Mirage,Envy,MIBR,4,16,3375,1,20th of October 2018,1
2864,2327630,Mirage,eUnited,Rogue,16,10,3375,0,20th of October 2018,1
2865,2327629,Train,MIBR,Envy,16,4,3375,1,20th of October 2018,1
2866,2327628,Nuke,Rogue,eUnited,1,16,3375,0,20th of October 2018,1
2867,2327627,Dust2,INTZ,Renegades,14,16,3375,0,20th of October 2018,1
2868,2327626,Cache,Luminosity,NRG,16,11,3375,1,20th of October 2018,1
2869,2327624,Inferno,NRG,Luminosity,16,8,3375,1,20th of October 2018,1
2870,2327625,Inferno,Renegades,INTZ,16,10,3375,0,20th of October 2018,1
2871,2327622,Cache,Liquid,Cloud9,13,16,3375,1,20th of October 2018,1
2872,2327623,Inferno,compLexity,Ghost,8,16,3375,1,20th of October 2018,1
2873,2327621,Nuke,Ghost,compLexity,6,16,3375,1,20th of October 2018,1
2874,2327620,Mirage,Cloud9,Liquid,10,16,3375,1,20th of October 2018,1
2875,2327619,Inferno,MIBR,Renegades,16,11,3375,1,19th of October 2018,1
2876,2327618,Inferno,Cloud9,Luminosity,14,16,3375,0,19th of October 2018,1
2877,2327617,Cache,Renegades,MIBR,10,16,3375,1,19th of October 2018,1
2878,2327616,Overpass,Luminosity,Cloud9,16,11,3375,0,19th of October 2018,1
2879,2327615,Inferno,Liquid,eUnited,16,5,3375,1,19th of October 2018,1
2880,2327614,Train,Envy,NRG,10,16,3375,1,19th of October 2018,1
