,matchcode,team,map
170,2327317,Fam143,Overpass
171,2327317,Las Vegas MiniGunners,Nuke
172,2327410,Imperial,Inferno
173,2327410,WePlayGames,Cache
174,2327402,C4,Cache
175,2327402,Gamdias,Overpass
176,2327409,Depre,Nuke
177,2327409,Isurus,Overpass
178,2327405,DETONA,Cache
179,2327405,KSHORRADA S.A,Dust2
180,2327425,Sharks,Cache
181,2327425,AGO,Dust2
182,2327309,Donut Galaxy,Train
183,2327309,Russian Forces,Mirage
184,2327401,Wild,Inferno
185,2327401,Bragantino,Mirage
186,2327395,Imperial,Mirage
187,2327395,Tempo Storm,Dust2
188,2327395,Tempo Storm,Train
189,2327395,Imperial,Cache
190,2327298,WASD,Train
191,2327298,Ambush,Nuke
192,2327403,ALTERNATE aTTaX,Overpass
193,2327403,Kinguin,Train
194,2327424,PACT,Train
195,2327424,Great Danes,Mirage
196,2327418,topnotcheu,Mirage
197,2327418,Sharks,Cache
198,2327394,3DMAX,Nuke
199,2327394,Space Soldiers,Dust2
200,2327392,Majestic Lions,Mirage
201,2327392,Bpro,Dust2
202,2327393,Virtus.pro,Train
203,2327393,Sprout,Dust2
204,2327308,PACT,Train
205,2327308,AGO,Inferno
206,2327348,SuperJymy,Mirage
207,2327348,HAVU,Train
208,2327413,Breakaway,Mirage
209,2327318,Infamous,Inferno
210,2327318,Atlas,Mirage
211,2327313,Ambush,Overpass
212,2327313,unknown,Nuke
213,2327293,3DMAX,Inferno
214,2327293,AVANGAR,Dust2
215,2327292,Windigo,Cache
216,2327292,Movistar Riders,Nuke
217,2327312,Ignite,Nuke
218,2327312,Atlando,Train
219,2327260,ALTERNATE aTTaX,Mirage
220,2327260,Imperial,Overpass
221,2327290,Waterboys,Cache
222,2327290,Spirit,Overpass
223,2327255,AGO,Dust2
224,2327255,Sprout,Inferno
225,2327285,ViCi,Train
226,2327285,CyberZen,Inferno
227,2327284,Flash,Mirage
228,2327284,5POWER,Inferno
229,2327060,Atlas,Mirage
230,2327060,The Mad Lads,Cache
231,2327231,Wild,Train
232,2327231,Isurus,Mirage
233,2327061,Fam143,Mirage
234,2327061,Glockoma,Inferno
235,2327234,Bravado,Inferno
236,2327234,TeamOne,Train
237,2327277,MIBR,Cache
238,2327277,Gorilla Gang,Mirage
239,2327259,AVANGAR,Mirage
240,2327259,Vega Squadron,Inferno
241,2327283,Preparation,Inferno
242,2327283,Izako Boars,Train
243,2327286,LDLC,Dust2
244,2327286,OpTic,Mirage
245,2327287,Imperial,Mirage
246,2327287,skip school,Cache
247,2327282,PACT,Train
248,2327282,x-kom,Cache
249,2327258,Kinguin,Cache
250,2327258,Fragsters,Train
251,2327252,omae wa mou shindeiru,Dust2
252,2327252,Imperial,Mirage
253,2327253,skip school,Overpass
254,2327253,CyberEA,Mirage
255,2327256,LDLC,Nuke
256,2327256,North,Dust2
257,2327257,HAVU,Dust2
258,2327257,OpTic,Nuke
259,2327244,5POWER,Inferno
260,2327244,ViCi,Train
261,2327254,Spirit,Overpass
262,2327254,Space Soldiers,Dust2
263,2327243,CyberZen,Inferno
264,2327243,Flash,Mirage
265,2327241,New4,Mirage
266,2327241,ViCi,Train
267,2327242,wNv,Inferno
268,2327242,5POWER,Cache
269,2327239,EHOME,Mirage
270,2327239,CyberZen,Inferno
271,2327240,BTRG,Nuke
272,2327240,Flash,Overpass
273,2326978,AZIO,Overpass
274,2326978,Mythic,Dust2
275,2327062,Las Vegas MiniGunners,Mirage
276,2327062,Stormborns,Cache
277,2326977,TeamOne,Train
278,2326977,Grizzlys,Mirage
279,2327031,MIBR,Cache
280,2327031,Bravado,Inferno
281,2327030,Gorilla Gang,Nuke
282,2327030,FURIA,Train
283,2327010,MIBR,Inferno
284,2327010,TeamOne,Train
285,2326994,lmfao,Cache
286,2326994,FURIA,Mirage
287,2327172,Endpoint,Mirage
288,2327172,Sharks,Cache
289,2327228,AGO,Mirage
290,2327228,3DMAX,Inferno
291,2327227,fnatic Academy,Train
292,2327227,unknown,Overpass
293,2327179,Virtus.pro,Mirage
294,2327179,Red Reserve,Cache
295,2327173,Bpro,Overpass
296,2327173,Nexus,Mirage
297,2327206,Spirit,Nuke
298,2327206,pro100,Mirage
299,2327251,Epsilon,Mirage
300,2327251,HAVU,Train
301,2327201,3DMAX,Inferno
302,2327201,Waterboys,Nuke
303,2327233,Space Soldiers,Dust2
304,2327233,Epsilon,Inferno
305,2327232,LDLC,Overpass
306,2327232,HAVU,Train
307,2327229,Tricked,Train
308,2327229,Tempo Storm,Cache
309,2327020,Space Soldiers,Inferno
310,2327020,OpTic,Overpass
311,2327106,Jaguar,Mirage
312,2327106,Vault,Inferno
313,2327097,Isurus,Inferno
314,2327097,W7M,Train
315,2327095,Ghost,Mirage
316,2327095,Bravado,Inferno
317,2327094,Gorilla Gang,Inferno
318,2327094,TeamOne,Dust2
319,2327096,Wild,Cache
320,2327096,Imperial,Mirage
321,2326894,Liquid,Cache
322,2326894,mousesports,Nuke
323,2326894,Liquid,Inferno
324,2326894,mousesports,Dust2
325,2327085,Tempo Storm,Train
326,2327085,Chaos,Inferno
327,2327082,orgless,Cache
328,2327082,ArenaBulls,Train
329,2327081,EoN,Cache
330,2327081,EURONICS,Dust2
331,2327086,HAVU,Train
332,2327086,Endpoint,Overpass
