,team,teamcode,eventcode,placement
342,nrg,6673,2864,1-4th
343,mythic,5479,2864,5-8th
344,jaguar,7504,2864,5-8th
345,ajax,7558,2864,5-8th
346,bushido-boyz,7885,2864,5-8th
347,liquid,5973,2795,1st
348,clg,5974,2795,2nd
349,renegades,6211,2795,3-4th
350,misfits,7557,2795,3-4th
351,complexity,5005,2795,5-6th
352,splyce,6301,2795,5-6th
353,greyface,5399,2862,1-4th
354,ajukreizi,7919,2862,1-4th
355,team123,6758,2862,1-4th
356,pride,6896,2862,1-4th
357,dead-pixels,6369,2862,5-8th
358,extatus,6745,2862,5-8th
359,omfmike,7920,2862,5-8th
360,whocares,7922,2862,5-8th
361,fmesports,4445,2862,9-16th
362,envyus-academy,7856,2862,9-16th
363,havu,7865,2862,9-16th
364,fantazerbl,7915,2862,9-16th
365,binary-dragons,6669,2862,9-16th
366,cheater,7921,2862,9-16th
367,spartak,7797,2862,9-16th
368,noobs-gone-wild,7923,2862,9-16th
369,planetkey,5195,2774,1st
370,euronics,6343,2774,2nd
371,nordic-warthogs,7677,2868,1st
372,tempno,4611,2868,2nd
373,gameplaydna,6322,2858,1st
374,eon,7917,2858,2nd
375,puggods,7916,2858,3-4th
376,bleiz,7918,2858,3-4th
377,tyloo,4863,2815,1-4th
378,new4,4865,2815,1-4th
379,vgrenascence,7611,2815,1-4th
380,eclipse,7892,2815,1-4th
381,emp,7479,2815,5-8th
382,vici,7606,2815,5-8th
383,boot,6898,2815,5-8th
384,uya,7716,2815,5-8th
385,allgamers,6504,2815,9-11th
386,ehome,7024,2815,9-11th
387,lgd,6899,2815,9-11th
388,five,6908,2815,12-14th
389,wings,6573,2815,12-14th
390,hegemonyperson,7528,2815,12-14th
391,efuture,6635,2815,15-16th
392,hg,6790,2815,15-16th
393,penta,5395,2822,1-2nd
394,envy,5991,2822,1-2nd
395,ldlc,4674,2822,3-5th
396,igamecom,7331,2822,3-5th
397,big,7532,2822,3-5th
398,kinguin,6134,2822,6-8th
399,fnatic-academy,7169,2822,6-8th
400,dignitas,5422,2822,6-8th
401,tricked,4602,2822,9-11th
402,heroic,7175,2822,9-11th
403,space-soldiers,5929,2822,9-11th
404,nip,4411,2822,12-14th
405,outlaws,7397,2822,12-14th
406,red-reserve,7613,2822,12-14th
407,epsilon,4688,2822,15-16th
408,north-academy,7713,2822,15-16th
409,spartak,7797,2849,1-4th
410,spirit,7020,2849,1-4th
411,tengri,7145,2849,1-4th
412,spirit-academy,7900,2849,1-4th
413,k29,4908,2849,5-8th
414,quantum-bellator-fire,7367,2849,5-8th
415,vega-squadron,6094,2849,5-8th
416,pro100,7898,2849,5-8th
417,evolution,5946,2849,9-12th
418,nova,7787,2849,9-12th
419,log,6215,2849,9-12th
420,teamasd,7819,2849,9-12th
421,epg,7489,2849,13-16th
422,zarlans,7182,2849,13-16th
423,spraynpray,7264,2849,13-16th
424,hala-ares,7905,2849,13-16th
425,binary-dragons,6669,2833,1-2nd
426,forcebuy,7732,2833,1-2nd
427,nexus,7187,2833,3rd
428,extatus,6745,2833,4th
429,bpro,6762,2833,5-8th
430,outlaws,7397,2833,5-8th
431,budapest-corvini,7836,2833,5-8th
432,ex-manatee,7897,2833,5-8th
433,fury,7785,2833,9-12th
434,impossible,7835,2833,9-12th
435,ex-darkpassage,7607,2833,9-12th
436,red-reserve,7613,2833,9-12th
437,squared,7669,2833,13-16th
438,sensei,7673,2833,13-16th
439,netland,7437,2833,13-16th
440,ttfu,7864,2833,13-16th
441,forcebuy,7732,2859,1st
442,alpha,6807,2859,2nd
443,enigma6,7592,2797,1st
444,ghost,7801,2797,2nd
445,rush,7104,2797,3rd
446,the-foundation,6985,2797,4th
447,hellraisers,5310,2796,1st
448,big,7532,2796,2nd
449,penta,5395,2796,3rd
450,virtuspro,5378,2796,4th
451,imperial,7701,2778,1-2nd
452,fightclub,7823,2778,1-2nd
453,passions,7124,2778,3-4th
454,outlaws,7397,2778,3-4th
455,inetkoxtv,6998,2778,5-6th
456,pride,6896,2778,5-6th
457,x6tence,4468,2778,7-8th
458,pompa-black,7834,2778,7-8th
459,outlaws,7397,2821,1-2nd
460,igamecom,7331,2821,1-2nd
461,pride,6896,2821,3-4th
462,en-av-de-lette,7914,2821,3-4th
463,aligon,4894,2821,5-8th
464,planetkey,5195,2821,5-8th
465,opaa,7743,2821,5-8th
466,memyselfi,7009,2821,5-8th
467,kpi,7339,2821,9-16th
468,eastern-vikings,6636,2821,9-16th
469,wysix,7649,2821,9-16th
470,extatus,6745,2821,9-16th
471,forcebuy,7732,2821,9-16th
472,team123,6758,2821,9-16th
473,havu,7865,2821,9-16th
474,fantazerbl,7915,2821,9-16th
475,unlucky,7896,2851,1st
476,impossible,7835,2851,2nd
477,spraynpray,7264,2851,3-4th
478,ttfu,7864,2851,3-4th
479,zarlans,7182,2851,5-8th
480,wolsung,7340,2851,5-8th
481,quantum-bellator-fire,7367,2851,5-8th
482,rogue-academy,7691,2851,5-8th
483,recca,7344,2699,1st
484,boot-ds,7567,2699,2nd
485,glassysky,7363,2699,3rd
486,signature,6774,2699,4th
487,jyp,7491,2699,5th
488,mineski,6715,2699,6th
489,fire-dragoon,7421,2699,7th
490,mith,6353,2699,8th
491,utm,7655,2699,9th
492,sabertooth,7274,2699,10th
493,evolution,5946,2848,1-4th
494,log,6215,2848,1-4th
495,teamasd,7819,2848,1-4th
496,makemistake,7912,2848,1-4th
497,vengeance,7266,2848,5-8th
498,goodjob,7820,2848,5-8th
499,kungar,7911,2848,5-8th
500,execution,7913,2848,5-8th
501,cloud9,5752,2844,1st
502,sk,6137,2844,2nd
503,clg,5974,2844,3-4th
504,immortals,7010,2844,3-4th
505,liquid,5973,2844,5-8th
506,luminosity,6290,2844,5-8th
507,optic,6615,2844,5-8th
508,nrg,6673,2844,5-8th
509,misfits,7557,2828,1-2nd
510,nrg,6673,2828,1-2nd
511,complexity,5005,2828,3-5th
512,clg,5974,2828,3-5th
513,luminosity,6290,2828,3-5th
514,mask-off,7879,2828,6-8th
515,eclipse,6987,2828,6-8th
516,bushido-boyz,7885,2828,6-8th
517,fakeoutnation,7263,2828,9-12th
518,miami-flamingos,7531,2828,9-12th
519,broken-alliance,6811,2828,9-12th
520,rush,7104,2828,9-12th
521,ajax,7558,2828,13-16th
522,ronin,6707,2828,13-16th
523,guerrilla-tactics,7882,2828,13-16th
524,trumps-anime,7883,2828,13-16th
525,shox-kennys,7826,2801,1st
526,cajunb-aizy,7899,2801,2nd
527,xantares-calyx,7871,2801,3rd
528,rain-niko,7825,2801,4th
529,seized-s1mple,7828,2801,5-6th
530,niko-jugi,7889,2801,5-6th
531,happy-scream,7824,2801,7-8th
532,juliano-zaaz,7827,2801,7-8th
533,penta,5395,2749,1st
534,big,7532,2749,2nd
535,splyce,6301,2749,3-4th
536,godsent,6902,2749,3-4th
537,pain,4773,2749,5-6th
538,dark-sided,7212,2749,5-6th
539,enigma6,7592,2749,7-8th
540,ghost,7801,2749,7-8th
541,popcornplokker,7908,2857,1st
542,hittasista,7910,2857,2nd
543,skillnaden,7907,2857,3-4th
544,flaxbanan,7909,2857,3-4th
545,flash,7660,2850,1st
546,vici,7606,2850,2nd
547,new4,4865,2850,3-4th
548,ehome,7024,2850,3-4th
549,emp,7479,2850,5-8th
550,five,6908,2850,5-8th
551,uya,7716,2850,5-8th
552,wnv,7798,2850,5-8th
553,eclipse,7892,2850,9-16th
554,wingsv,7527,2850,9-16th
555,eclipseo,7893,2850,9-16th
556,boot,6898,2850,9-16th
557,hegemonyperson,7528,2850,9-16th
558,sp,7894,2850,9-16th
559,lgd,6899,2850,9-16th
560,ae,7371,2850,9-16th
561,hg,6790,2850,17-20th
562,nga,7895,2850,17-20th
563,vgrenascence,7611,2850,17-20th
564,zdm,7372,2850,17-20th
565,planetkey,5195,2852,1st
566,alternate-attax,4501,2852,2nd
567,panthers,6693,2852,3rd
568,divizon,7425,2852,4th
569,sk,6137,2639,1st
570,liquid,5973,2639,2nd
571,immortals,7010,2639,3rd
572,nrg,6673,2639,4th
573,cloud9,5752,2639,5th
574,optic,6615,2639,6th
575,luminosity,6290,2639,7th
576,clg,5974,2639,8th
577,renegades,6211,2639,9th
578,misfits,7557,2639,10th
579,complexity,5005,2639,11th
580,rush,7104,2639,12th
581,the-foundation,6985,2639,13th
582,animal-squad,6379,2639,14th
583,north,7533,2638,1st
584,g2,5995,2638,2nd
585,mousesports,4494,2638,3rd
586,fnatic,4991,2638,4th
587,natus-vincere,4608,2638,5th
588,envy,5991,2638,6th
589,faze,6667,2638,7th
590,astralis,6665,2638,8th
591,heroic,7175,2638,9th
592,nip,4411,2638,10th
593,ldlc,4674,2638,11th
594,hellraisers,5310,2638,12th
595,virtuspro,5378,2638,13th
596,kinguin,6134,2638,14th
597,dizlown,7242,2840,5-8th
598,awsomniac,5415,2840,5-8th
599,nativ,6995,2840,5-8th
600,boxers,7857,2840,5-8th
601,passions,7124,2820,1-2nd
602,dignitas,5422,2820,1-2nd
603,alternate-attax,4501,2820,3-4th
604,wasd,7668,2820,3-4th
605,outlaws,7397,2820,5-8th
606,envyus-academy,7856,2820,5-8th
607,maxisaucisse,5260,2820,5-8th
608,esg,5679,2820,5-8th
609,x6tence,4468,2820,9-16th
610,midlertidig,5061,2820,9-16th
611,planetkey,5195,2820,9-16th
612,havu,7865,2820,9-16th
613,klappskaft,7901,2820,9-16th
614,robin-hood,7902,2820,9-16th
615,team123,6758,2820,9-16th
616,hshc,7903,2820,9-16th
617,euronics,6343,2837,1st
618,planetkey,5195,2837,2nd
619,playing-ducks,7566,2837,3rd
620,tyloo,4863,2766,1st
621,born-of-fire,6502,2766,2nd
622,vici,7606,2766,3rd
623,uya,7716,2766,4th
624,new4,4865,2766,5th
625,emp,7479,2766,6th
626,zdm,7372,2766,7th
627,lgd,6899,2766,8th
628,hegemonyperson,7528,2766,9th
629,five,6908,2766,10th
630,g2,5995,2568,1st
631,hellraisers,5310,2568,2nd
632,mousesports,4494,2568,3-4th
633,misfits,7557,2568,3-4th
634,tricked,4602,2568,5-6th
635,natus-vincere,4608,2568,5-6th
636,envy,5991,2568,7-8th
637,heroic,7175,2568,7-8th
638,acg,5847,2780,1st
639,quantum-bellator-fire,7367,2780,2nd
640,spartak,7797,2780,3rd
641,1337,7523,2780,4th
642,esuba,5412,2780,5-6th
643,gameplaydna,6322,2780,5-6th
644,spraynpray,7264,2780,7-8th
645,overdrive,7544,2780,7-8th
646,nexus,7187,2845,1st
647,invictus-aquilas,7870,2845,2nd
648,zero-respect,7868,2845,3rd
649,aryo,7872,2845,4th
650,space-soldiers,5929,2807,1st
651,k1ck,4469,2807,2nd
652,alientech,5524,2807,3-4th
653,exotic-island,6964,2807,3-4th
654,egeneration,5944,2807,5th
655,ftw,7379,2807,6th
656,immortals,7010,2679,1st
657,luminosity,6290,2679,2nd
658,monstars,7841,2679,3rd
659,top-gun,7658,2679,4th
660,denial,4643,2679,5-6th
661,swole-patrol,7726,2679,5-6th
662,banishers,7598,2679,7-8th
663,socal-stars,7599,2679,7-8th
664,ronin,6707,2827,1-8th
665,broken-alliance,6811,2827,1-8th
666,guerrilla-tactics,7882,2827,1-8th
667,fakeoutnation,7263,2827,1-8th
668,trumps-anime,7883,2827,1-8th
669,ajax,7558,2827,1-8th
670,bushido-boyz,7885,2827,1-8th
671,mask-off,7879,2827,1-8th
672,campers,7881,2827,9-16th
673,evil-geniusez,7884,2827,9-16th
674,just-a-glimpse,7632,2827,9-16th
675,incontrol,7720,2827,9-16th
676,painful,7886,2827,9-16th
677,nyc,7887,2827,9-16th
678,gorilla-core,7880,2827,9-16th
679,lords-sgg,7888,2827,9-16th
680,bravado,5158,2705,1st
681,energy,5153,2705,2nd
682,damage-control,5154,2705,3rd
683,flipsid3-africa,6764,2705,4th
684,xtc,6569,2705,5-6th
685,exdee,7647,2705,5-6th
686,ventus,6561,2705,7-8th
687,pulse,7459,2705,7-8th
688,sk,6137,2713,1st
689,faze,6667,2713,2nd
690,optic,6615,2713,3-4th
691,astralis,6665,2713,3-4th
692,chiefs,6010,2713,5th
693,renegades,6211,2713,6-7th
694,north,7533,2713,6-7th
695,vici,7606,2713,8th
696,big,7532,2772,1st
697,alternate-attax,4501,2772,2nd
698,planetkey,5195,2772,3-4th
699,panthers,6693,2772,3-4th
700,tricked,4602,2819,1-2nd
701,fnatic-academy,7169,2819,1-2nd
702,passions,7124,2819,3-4th
703,roki,7876,2819,3-4th
704,wysix,7649,2819,5-8th
705,binary-dragons,6669,2819,5-8th
706,configstarz,7873,2819,5-8th
707,kpi,7339,2819,5-8th
708,ex-darkpassage,7607,2819,9-16th
709,dignitas,5422,2819,9-16th
710,envyus-academy,7856,2819,9-16th
711,team123,6758,2819,9-16th
712,yolesnoobs,7874,2819,9-16th
713,struggletony,7875,2819,9-16th
714,wolsung,7340,2819,9-16th
715,heliumsgrabbar,7877,2819,9-16th
716,pain,4773,2831,1st
717,teamone,6947,2831,2nd
718,intz,6619,2831,3-4th
719,progaming,6771,2831,3-4th
720,black-dragons,7081,2831,5-8th
721,virtue,7830,2831,5-8th
722,hookahlike,7831,2831,5-8th
723,waytoomany,7832,2831,5-8th
724,acg,5847,2809,1st
725,quantum-bellator-fire,7367,2809,2nd
726,epg,7489,2809,3rd
727,elquvet,7427,2809,4th
728,nexus,7187,2779,1st
729,bpro,6762,2779,2nd
730,pixelfire,6675,2779,3-4th
731,wortex,7694,2779,3-4th
732,rctic,4682,2779,5-8th
733,euronics,6343,2779,5-8th
734,epg,7489,2779,5-8th
735,movistar-riders,7718,2779,5-8th
736,complexity,5005,2794,1st
737,sippintea,7855,2794,2nd
738,ezg,6640,2794,3-4th
739,morior-invictus,7723,2794,3-4th
740,h00liganz,6356,2794,5-8th
741,vault,6366,2794,5-8th
742,rush,7104,2794,5-8th
743,will2win,7854,2794,5-8th
744,esuba,5412,2839,1st
745,fraternitas,4573,2839,2nd
746,dark-tigers,7842,2839,3rd
747,inside,7055,2839,4th
748,kinguin,6134,2798,1st
749,pride,6896,2798,2nd
750,izako-boars,7681,2798,3-4th
751,zwierzeta,7833,2798,3-4th
752,immunity,4791,2788,1st
753,chiefs,6010,2788,2nd
754,legacy,6468,2788,3-4th
755,tainted-minds,7517,2788,3-4th
756,avant,5293,2788,5-8th
757,athletico,5680,2788,5-8th
758,dark-sided,7212,2788,5-8th
759,funky-monkeys,7218,2788,5-8th
760,gambit,6651,2567,1st
761,immortals,7010,2567,2nd
762,g2,5995,2567,3-4th
763,heroic,7175,2567,3-4th
764,hellraisers,5310,2567,5-6th
765,cloud9,5752,2567,5-6th
766,liquid,5973,2567,7-8th
767,luminosity,6290,2567,7-8th
768,k29,4908,2791,1-2nd
769,polaris,7847,2791,1-2nd
770,fnatic-academy,7169,2791,3-4th
771,greyface,5399,2791,3-4th
772,ambush,7674,2791,5-8th
773,fightclub,7823,2791,5-8th
774,encore,5727,2791,5-8th
775,tengri,7145,2791,5-8th
776,x6tence,4468,2791,9-16th
777,ldlc,4674,2791,9-16th
778,epsilon,4688,2791,9-16th
779,goodjob,7820,2791,9-16th
780,maestro,7848,2791,9-16th
781,fish123,6298,2791,9-16th
782,77,7849,2791,9-16th
783,eudededede,7850,2791,9-16th
784,penta,5395,2818,1-2nd
785,north-academy,7713,2818,1-2nd
786,tricked,4602,2818,3-4th
787,gameplaydna,6322,2818,3-4th
788,maxisaucisse,5260,2818,5-8th
789,dignitas,5422,2818,5-8th
790,forcebuy,7732,2818,5-8th
791,yzn,7845,2818,5-8th
792,k1ck,4469,2818,9-16th
793,ex-darkpassage,7607,2818,9-16th
794,wasd,7668,2818,9-16th
795,oserv,7687,2818,9-16th
796,giant5,6099,2818,9-16th
797,arte-et-marte,7843,2818,9-16th
798,singularity,6978,2818,9-16th
799,sample,7846,2818,9-16th
800,pain,4773,2826,1st
801,merciless,7614,2826,2nd
802,intz,6619,2826,3-4th
803,en9my,7852,2826,3-4th
804,innova,6785,2826,5-8th
