,team,teamcode,eventcode,placement
0,era,8608,3315,1st
1,third-times-a-charm,8609,3315,2nd
2,h00liganz,6356,3315,3-4th
3,hwml,8613,3315,3-4th
4,rival,6869,3315,5-8th
5,enter,7977,3315,5-8th
6,vikings,8253,3315,5-8th
7,glockoma,8545,3315,5-8th
8,bravado,5158,3317,1st
9,big-5,8111,3317,2nd
10,energy,5153,3317,3-4th
11,goliath,8193,3317,3-4th
12,damage-control,5154,3317,5-8th
13,exdee,7647,3317,5-8th
14,xastris,8593,3317,5-8th
15,spartan,8594,3317,5-8th
16,bpro,6762,3381,1st
17,without-warning,8582,3381,2nd
18,pixel,6737,3381,3rd
19,sinners,8583,3381,4th
20,squared,7669,3381,5-6th
21,invictus-aquilas,7870,3381,5-6th
22,gameagents,6652,3381,7-8th
23,kliktech,8127,3381,7-8th
24,ago,8068,3354,1st
25,pride,6896,3354,2nd
26,ldlc,4674,3354,3-4th
27,sprout,8637,3354,3-4th
28,valiance,8481,3354,5-6th
29,windigo,8513,3354,5-6th
30,squared,7669,3354,7-8th
31,envyus-academy,7856,3354,7-8th
32,kinguin,6134,3354,9-10th
33,goodjob,7820,3354,9-10th
34,alternate-attax,4501,3354,11-14th
35,epsilon,4688,3354,11-14th
36,epg,7489,3354,11-14th
37,wasd,7668,3354,11-14th
38,nexus,7187,3354,15-18th
39,spirit-academy,7900,3354,15-18th
40,ha-masse,7472,3354,15-18th
41,spirit,7020,3354,15-18th
42,ttfu,7864,3354,19-22nd
43,venatores,7253,3354,19-22nd
44,planetkey,5195,3354,19-22nd
45,singularity,6978,3354,19-22nd
46,epg,7489,3320,1st
47,alternate-attax,4501,3320,2nd
48,excel,6113,3320,3-4th
49,envyus-academy,7856,3320,3-4th
50,spirit-academy,7900,3320,5-8th
51,gameagents,6652,3320,5-8th
52,singularity,6978,3320,5-8th
53,passions,7124,3320,5-8th
54,sherifi,8043,3320,9-12th
55,dream,8339,3320,9-12th
56,seal,8361,3320,9-12th
57,team5,8392,3320,9-12th
58,esuba,5412,3320,13-16th
59,nova,7787,3320,13-16th
