,event,code,prizepool,date,location,nteams
374,rog-masters-2016-rest-of-asia-qualifier,2498,TBA,Oct 8th 2016,Online,7
375,eswc-2016-poland,2496,"$19,200",Oct 8th 2016,Warsaw,4
376,neo-cup-2016,2491,"$2,689",Oct 8th 2016,"Riga, Latvia",4
377,quickshot-arena-25,2490,"$1,500",Oct 5th,Online,8
378,epicenter-moscow-cis-closed-qualifier,2397,"$5,000",Sep 5th 2016,,8
379,wesg-2016-china-finals,2409,"~$26,200",Oct 1st,"Suzhou, China",18
380,wesg-2016-south-america,2488,TBA,Oct 3rd 2016,,4
381,balkantube-fest,2354,TBA,Aug 4th 2016,,
382,wesg-2016-argentina,2485,TBA,Oct 1st,,8
383,adrenaline-cyber-league-finals,2345,"$100,000",Sep 30th,"Moscow, Russia",4
384,esl-one-new-york-2016,2239,"$250,000",Sep 30th,"New York, New York, United States",8
385,intel-gaming-challenge,2478,"$3,077",Sep 29th,São Paulo,8
386,gamesnetcl-league,2484,$275,Oct 1st 2016,Talca,2
387,esl-polish-championship-2016-finals,2457,"$7,833",Oct 1st 2016,"Lodz, Poland",4
388,eb-expo-sydney-finals,2475,"$7,500",Sep 30th,"Sydney, Australia",4
389,quickshot-arena-24,2468,"$1,500",Sep 28th,Online,8
390,wesg-2016-central-europe,2464,TBA,Sep 28th,Online,4
391,wesg-2016-united-states,2469,TBA,Sep 27th,Online,4
392,kinguin-for-charity-with-paypal,2467,"$5,000",Sep 27th,Online,8
393,wesg-2016-germany,2463,TBA,Sep 28th 2016,Online,4
394,wca-wcc-russia-qualifier,2450,TBA,Sep 21st,Online,9
395,epicenter-moscow-eu-closed-qualifier,2395,"$5,000",Aug 28th 2016,,8
396,wesg-2016-canada,2474,TBA,Sep 27th 2016,Online,4
397,wesg-2016-northern-europe-post-cis,2462,TBA,Sep 27th 2016,Online,4
398,esl-one-new-york-2016-north-america-qualifier,2413,TBA,Sep 12th,,8
399,ecs-season-2-na-development-league,2420,TBA,Sep 9th,,8
400,ecs-season-2-eu-development-league,2419,TBA,Sep 9th,,8
401,world-championships-2016-european-qualifier,2349,TBA,Aug 8th 2016,Online,48
402,csl-2016-finals,2161,"$44,200",Sep 24th,China,4
403,wesg-2016-the-uk-ireland-iceland,2461,TBA,Sep 24th,Online,4
404,wesg-2016-russia,2460,TBA,Sep 24th,Online,8
405,wesg-2016-ukraine,2459,TBA,Sep 24th,Online,4
406,gfinity-csgo-invitational-2016,2435,"$100,000",Sep 23rd,"Birmingham, United Kingdom",4
407,extremesland-2016-asia-finals,2411,"$100,000",Sep 22nd,"Shanghai, China",16
408,argentina-game-show-2016-finals,2421,"$1,340",Sep 24th 2016,Buenos Aires,2
409,rog-masters-2016-southeast-asia-qualifier,2456,TBA,Sep 24th 2016,Online,8
410,wesg-2016-benelux,2458,TBA,Sep 23rd 2016,Online,3
411,wesg-2016-denmark,2334,TBA,Sep 22nd,Online,8
412,quickshot-arena-23,2451,"$1,500",Sep 21st,Online,8
413,wesg-2016-poland,2449,TBA,Sep 21st,Online,6
414,king-of-the-king,2439,"$1,500",Sep 16th,Online,4
415,wesg-2016-south-asia,2455,TBA,Sep 22nd 2016,Online,4
416,game-show-spring-invitational-2016,2158,"$5,000",Feb 22nd 2016,Online,10
417,wesg-2016-adriatica,2448,TBA,Sep 21st 2016,Online,4
418,wesg-2016-central-asia,2446,TBA,Sep 20th 2016,Online,4
419,wesg-2016-france-monaco,2445,TBA,Sep 19th,Online,7
420,wesg-2016-norway,2440,TBA,Sep 18th,Online,4
421,hitbox-challenger-cup-2,2296,"$10,000",Jun 27th 2016,Online,16
422,dust2dk-eoddset-2,2444,"$1,875",Sep 18th 2016,Online,8
423,ibuypower-invitational-fall-2016,2441,"$16,000",Sep 17th,,8
424,wesg-2016-sweden,2443,TBA,Sep 17th,Online,6
425,dreamhack-zowie-open-bucharest-2016,2112,"$100,000",Sep 16th,"Bucharest, Romania",8
426,rog-masters-2016-east-asia-qualifier,2442,TBA,Sep 17th 2016,Online,8
427,wesg-2016-iberia,2438,TBA,Sep 16th 2016,,4
428,quickshot-arena-22,2436,"$1,500",Sep 14th,Online,8
429,argentina-game-show-2016,2418,TBA,Sep 7th,,8
430,wesg-2016-south-east-europe,2437,TBA,Sep 14th,,4
431,eleague-season-2-north-america-closed-qualifier,2406,TBA,Sep 14th,,16
432,adrenaline-cyber-league,2348,TBA,Aug 4th 2016,,16
433,eleague-season-2-north-america-open-qualifier-3,2405,TBA,Sep 12th 2016,,0
434,eleague-season-2-north-america-open-qualifier-2,2404,TBA,Sep 11th 2016,,0
435,game-evolution,2389,"$4,000",Sep 11th 2016,"Sofia, Bulgaria",4
436,sl-i-league-starseries-season-2-finals,2325,"$300,000",Sep 7th,"Kiev, Ukraine",16
437,eleague-season-2-north-america-open-qualifier-1,2403,TBA,Sep 10th 2016,,0
438,rog-masters-2016-oceania-qualifier,2428,TBA,Sep 10th 2016,Online,8
439,eb-expo-sydney-2016-qualifier-1,2424,TBA,Sep 10th 2016,,4
440,quickshot-arena-21,2422,"$1,500",Sep 7th,,8
441,blasterx-inetkox-league-season-1,2262,"$15,000",May 25th 2016,Online,8
