,matchcode,map,team1,team2,score1,score2,eventcode,stars,date,mapnumber
0,2318047,Overpass,PRIDE,AGO,16,14,3354,0,11th of December 2017,1
1,2318047,Mirage,PRIDE,AGO,18,22,3354,0,11th of December 2017,2
2,2318047,Train,PRIDE,AGO,2,16,3354,0,11th of December 2017,3
3,2317972,Inferno,LDLC,AGO,5,16,3354,1,11th of December 2017,1
4,2317972,Mirage,LDLC,AGO,8,16,3354,1,11th of December 2017,2
5,2317971,Mirage,Sprout,PRIDE,6,16,3354,0,11th of December 2017,1
6,2317971,Overpass,Sprout,PRIDE,16,9,3354,0,11th of December 2017,2
7,2317971,Cache,Sprout,PRIDE,14,16,3354,0,11th of December 2017,3
8,2317788,Train,PRIDE,Windigo,16,9,3354,0,1st of December 2017,1
9,2317787,Train,Windigo,Squared,16,8,3354,0,1st of December 2017,1
10,2317783,Train,Squared,PRIDE,6,16,3354,0,1st of December 2017,1
11,2317782,Cobblestone,Kinguin,Windigo,9,16,3354,0,1st of December 2017,1
12,2317607,Mirage,PRIDE,Windigo,16,11,3354,0,1st of December 2017,1
13,2317606,Nuke,Kinguin,Squared,20,22,3354,0,1st of December 2017,1
14,2317758,Mirage,AGO,Valiance,16,11,3354,1,1st of December 2017,1
15,2317756,Nuke,Valiance,EnVyUs Academy,16,4,3354,0,30th of November 2017,1
16,2317752,Cobblestone,AGO,EnVyUs Academy,16,11,3354,1,30th of November 2017,1
17,2317751,Inferno,Valiance,GoodJob,19,16,3354,0,30th of November 2017,1
18,2317718,Inferno,GoodJob,EnVyUs Academy,10,16,3354,0,30th of November 2017,1
19,2317605,Inferno,AGO,Valiance,16,14,3354,1,30th of November 2017,1
20,2317409,Nuke,EnVyUs Academy,EPG,16,5,3354,0,17th of November 2017,1
21,2317408,Nuke,EPG,Spirit,16,11,3354,0,17th of November 2017,1
22,2317407,Inferno,EnVyUs Academy,Spirit,16,3,3354,0,17th of November 2017,1
23,2317406,Cache,Singularity,EPG,10,16,3354,0,17th of November 2017,1
24,2317233,Mirage,Spirit,EPG,16,9,3354,0,17th of November 2017,1
25,2317232,Cobblestone,Singularity,EnVyUs Academy,16,19,3354,0,17th of November 2017,1
26,2317398,Train,Windigo,WASD,16,6,3354,0,16th of November 2017,1
27,2317397,Nuke,Nexus,WASD,4,16,3354,0,16th of November 2017,1
28,2317389,Overpass,Windigo,WASD,16,9,3354,0,16th of November 2017,1
29,2317388,Mirage,VenatoreS,Nexus,14,16,3354,0,16th of November 2017,1
30,2317231,Overpass,Nexus,WASD,13,16,3354,0,16th of November 2017,1
31,2317230,Train,VenatoreS,Windigo,11,16,3354,0,16th of November 2017,1
32,2317299,Train,Epsilon,Squared,14,16,3354,0,15th of November 2017,1
33,2317335,Cache,Valiance,ALTERNATE aTTaX,16,9,3354,0,14th of November 2017,1
34,2317334,Train,ALTERNATE aTTaX,Spirit Academy,16,10,3354,0,14th of November 2017,1
35,2317331,Nuke,Spirit Academy,Valiance,8,16,3354,0,14th of November 2017,1
36,2317330,Train,Planetkey,ALTERNATE aTTaX,6,16,3354,0,14th of November 2017,1
37,2317229,Inferno,Valiance,ALTERNATE aTTaX,16,3,3354,0,14th of November 2017,1
38,2317228,Train,Spirit Academy,Planetkey,16,6,3354,0,14th of November 2017,1
39,2317298,Inferno,Squared,Ha MaSSe,16,3,3354,0,14th of November 2017,1
40,2317262,Mirage,Ha MaSSe,Epsilon,15,19,3354,0,13th of November 2017,1
41,2317261,Cache,TTFU,Squared,14,16,3354,0,13th of November 2017,1
42,2317226,Train,Epsilon,Squared,16,11,3354,0,13th of November 2017,1
43,2317225,Mirage,TTFU,Ha MaSSe,10,16,3354,0,13th of November 2017,1
44,2317926,Inferno,FaZe,SK,16,13,3072,5,10th of December 2017,1
45,2317926,Overpass,FaZe,SK,11,16,3072,5,10th of December 2017,2
46,2317926,Mirage,FaZe,SK,9,16,3072,5,10th of December 2017,3
47,2317926,Train,FaZe,SK,16,19,3072,5,10th of December 2017,4
48,2317925,Cobblestone,SK,Misfits,16,6,3072,1,9th of December 2017,1
49,2317925,Overpass,SK,Misfits,16,1,3072,1,9th of December 2017,2
50,2317924,Mirage,FaZe,fnatic,16,7,3072,2,9th of December 2017,1
51,2317924,Overpass,FaZe,fnatic,16,10,3072,2,9th of December 2017,2
52,2317923,Cobblestone,Misfits,HellRaisers,22,18,3072,1,8th of December 2017,1
53,2317923,Overpass,Misfits,HellRaisers,16,6,3072,1,8th of December 2017,2
54,2317922,Inferno,fnatic,OpTic,14,16,3072,2,8th of December 2017,1
55,2317922,Train,fnatic,OpTic,16,10,3072,2,8th of December 2017,2
56,2317922,Mirage,fnatic,OpTic,16,14,3072,2,8th of December 2017,3
57,2317661,Inferno,North,NiP,15,19,3072,3,6th of December 2017,1
58,2317660,Cache,SK,Misfits,16,7,3072,1,6th of December 2017,1
59,2317662,Cobblestone,NRG,OpTic,3,16,3072,1,6th of December 2017,1
60,2317658,Overpass,Misfits,NiP,16,13,3072,1,6th of December 2017,1
61,2317659,Cache,SK,NRG,16,9,3072,1,6th of December 2017,1
62,2317656,Overpass,SK,NiP,16,9,3072,4,6th of December 2017,1
63,2317657,Overpass,North,OpTic,16,11,3072,2,6th of December 2017,1
64,2317668,Inferno,fnatic,Astralis,16,7,3072,2,6th of December 2017,1
65,2317667,Overpass,FaZe,HellRaisers,16,7,3072,1,6th of December 2017,1
66,2317669,Cache,Luminosity,Liquid,16,4,3072,1,6th of December 2017,1
67,2317666,Train,FaZe,Luminosity,16,12,3072,1,6th of December 2017,1
68,2317665,Overpass,HellRaisers,Astralis,16,13,3072,1,6th of December 2017,1
69,2317664,Mirage,fnatic,Liquid,22,18,3072,2,6th of December 2017,1
70,2317663,Mirage,FaZe,Astralis,16,5,3072,5,6th of December 2017,1
71,2317654,Overpass,Misfits,OpTic,10,16,3072,1,5th of December 2017,1
72,2317653,Mirage,North,NRG,9,16,3072,1,5th of December 2017,1
73,2317652,Overpass,NRG,NiP,16,14,3072,1,5th of December 2017,1
74,2317651,Mirage,SK,OpTic,14,16,3072,2,5th of December 2017,1
75,2317650,Cobblestone,North,Misfits,9,16,3072,1,5th of December 2017,1
76,2317649,Cobblestone,NiP,OpTic,16,14,3072,2,5th of December 2017,1
77,2317648,Overpass,NRG,Misfits,11,16,3072,1,5th of December 2017,1
78,2317647,Overpass,North,SK,7,16,3072,3,5th of December 2017,1
79,2317645,Cobblestone,fnatic,Luminosity,16,13,3072,1,5th of December 2017,1
80,2317646,Inferno,HellRaisers,Liquid,16,4,3072,1,5th of December 2017,1
81,2317644,Train,Astralis,Luminosity,16,11,3072,1,5th of December 2017,1
82,2317643,Mirage,FaZe,Liquid,16,14,3072,3,5th of December 2017,1
83,2317641,Mirage,Astralis,Liquid,20,22,3072,3,5th of December 2017,1
84,2317642,Inferno,fnatic,HellRaisers,5,16,3072,1,5th of December 2017,1
85,2317640,Cache,Luminosity,HellRaisers,25,23,3072,1,5th of December 2017,1
86,2317639,Inferno,fnatic,FaZe,19,15,3072,2,5th of December 2017,1
87,2317985,Mirage,AVANGAR,pro100,16,8,3400,0,10th of December 2017,1
88,2317985,Inferno,AVANGAR,pro100,16,5,3400,0,10th of December 2017,2
89,2317929,Cache,AVANGAR,EPG,16,7,3400,0,7th of December 2017,1
90,2317929,Mirage,AVANGAR,EPG,16,8,3400,0,7th of December 2017,2
91,2317927,Inferno,Nemiga,pro100,7,16,3400,0,7th of December 2017,1
92,2317927,Overpass,Nemiga,pro100,13,16,3400,0,7th of December 2017,2
93,2317832,Mirage,EPG,NOVA,7,16,3400,0,6th of December 2017,1
94,2317832,Cache,EPG,NOVA,16,5,3400,0,6th of December 2017,2
