,event,code,prizepool,date,location,nteams
0,esea-main-season-26-north-america,3315,"$9,000",Dec 6th,Online (North America),8
1,esea-open-season-26-south-africa,3317,"$2,000",Nov 29th,South Africa (Online),8
2,esl-southeast-europe-championship-season-6,3381,3 spots at the offline finals,Nov 25th,Online (Europe),8
3,legend-series-4,3354,"$2,334",Nov 13th,Online (Europe),22
4,vreecase-cup-2,3320,"$5,000",Oct 30th,Online (Europe),16
5,renameme,3545,"$24,841",Oct 2nd,Online (Europe),6
6,esports-european-league,3182,"$24,000",Oct 2nd,"Gennevilliers, France",6
7,legend-series-north-america-qualifier,3405,TBA,Dec 10th 2017,North America (Online),4+
8,esl-italy-championship-2017,3415,"$2,940",Dec 10th 2017,Online,4
9,interlan-2017,3414,"$2,940",Dec 10th 2017,"Viljandi, Estonia",3
10,wesg-2017-philippines,3417,1 spot at WESG 2017 APAC Regional Finals,Dec 9th,Online (Philippines),4+
11,wesg-2017-singapore,3416,1 spot at WESG 2017 APAC Regional Finals,Dec 9th,Online (Singapore),4+
12,esl-pro-league-season-6-finals,3072,"$750,000",Dec 5th,"Odense, Denmark",12
13,makemybet-cup-1,3400,"$2,000",Dec 4th,Online (CIS),8
14,midtv-challenge-cup-1,3384,"$15,000",Nov 27th,Online,10
15,wesg-2017-indonesia-lan,3413,1 spot at WESG 2017 APAC Regional Finals,Dec 9th 2017,,4
16,kings-of-the-baltics-finals,3410,"$8,233",Dec 9th 2017,"Vilnius, Lithuania",4
17,australian-esports-masters-season-3-finals,3217,"$6,700",Dec 7th,"Adelaide, Australia",8
18,rog-masters-2017-grand-finals,3283,"$235,000",Dec 6th,"Kuala Lumpur, Malaysia",6
19,gfinity-elite-series-season-2,3201,"$110,000",Oct 7th,"London, United Kingdom",8
20,legion-challenge-2017,3411,"$7,200",Dec 8th 2017,Online,2
21,wesg-2017-australia,3408,2 spots at WESG 2017 APAC Regional Finals,Dec 7th,Online (Australia),7
22,wesg-2017-new-zealand-pacific-islands,3406,1 spot at WESG 2017 APAC Regional Finals,Dec 7th,Online (New Zealand),4
23,cevo-main-season-13-north-america,3322,"$10,000",Nov 5th,North America (Online),16
24,skinhub-season-2,3228,"$10,000",Oct 11th,Online (Europe),16
25,wesg-2017-south-asia-south-east-asia,3407,TBA,Dec 6th 2017,Online (Asia),4+
26,liga-tyc-sports-aorus-2,3409,"$1,600",Dec 6th 2017,Online,2
27,streamme-gauntlet-cis-vs-eu-16,3390,"$1,500",Nov 29th,Online (Europe),8
28,wesg-2017-east-asia,3401,TBA,Dec 4th 2017,Asia (Online),4+
29,wesg-2017-central-asia,3402,TBA,Dec 4th 2017,Online (Central Asia),4
30,polish-esport-league-season-2-finals,3379,"$36,000",Dec 3rd 2017,"Warsaw, Poland",4
31,nations-elite-esports-cup-balkan-qualifier,3372,1 spot in NEE Cup,Dec 3rd 2017,Online (Europe),4+
