,Unnamed: 0,team,teamcode,eventcode,placement
166,166,tempo-storm,8221,3322,9-12th
167,167,gorilla-core,7880,3322,9-12th
168,168,beacon,7961,3322,9-12th
169,169,ex-naventic,8562,3322,9-12th
170,170,settodestroyx,6171,3322,13-16th
171,171,glockwork,6759,3322,13-16th
172,172,blackwoodproductions,7783,3322,13-16th
173,173,porksports,8520,3322,13-16th
174,174,ago,8068,3228,1st
175,175,valiance,8481,3228,2nd
176,176,pride,6896,3228,3rd
177,177,red-reserve,7613,3228,4th
178,178,north-academy,7713,3228,5-6th
179,179,fragsters,6855,3228,5-6th
180,180,tricked,4602,3228,7-8th
181,181,team5,8392,3228,7-8th
182,182,extatus,6745,3228,9-12th
183,183,mk,6959,3228,9-12th
184,184,singularity,6978,3228,9-12th
185,185,crowns,7168,3228,9-12th
186,186,alternate-attax,4501,3228,13-16th
187,187,igamecom,7331,3228,13-16th
188,188,envyus-academy,7856,3228,13-16th
189,189,sharks,8113,3228,13-16th
190,190,gametv,8499,3407,1st
191,191,utm,7655,3407,2nd
192,192,entity,7348,3407,3-4th
193,193,goodfellas,8618,3407,3-4th
194,194,isurus,7653,3409,1st
195,195,malvinas,8121,3409,2nd
196,196,mans-not-hot,8543,3390,1st
197,197,5balls,8589,3390,2nd
198,198,spirit,7020,3390,3-4th
199,199,toxic,8490,3390,3-4th
200,200,spirit-academy,7900,3390,5-8th
201,201,vexed,8020,3390,5-8th
202,202,sherifi,8043,3390,5-8th
203,203,seal,8361,3390,5-8th
204,204,scarz-absolute,7962,3401,1st
205,205,d13,8607,3401,2nd
206,206,themongolz,6248,3401,3-4th
207,207,mogul,8551,3401,3-4th
208,208,gambit,6651,3402,1st
209,209,kyrgyzstan,6313,3402,2nd
210,210,tengri,7145,3402,3-4th
211,211,tulpar,8610,3402,3-4th
212,212,kinguin,6134,3379,1st
213,213,venatores,7253,3379,2nd
214,214,ago,8068,3379,3rd
215,215,pride,6896,3379,4th
216,216,windigo,8513,3372,1st
217,217,xpc,4982,3372,2nd
218,218,bpro,6762,3372,3-4th
219,219,invictus-aquilas,7870,3372,3-4th
220,220,kalashnikov-47,7062,3399,1st
221,221,xd1234xd,8603,3399,2nd
222,222,eclipse,7892,3394,1st
223,223,vici,7606,3394,2nd
224,224,tyloo,4863,3394,3rd
225,225,flash,7660,3394,4th
226,226,alternate-attax,4501,3396,1st
227,227,divizon,7425,3396,2nd
228,228,berzerk,5121,3396,3rd
229,229,panthers,6693,3396,4th
230,230,movistar-riders,7718,3395,1st
231,231,kpi,7339,3395,2nd
232,232,x6tence,4468,3395,3-4th
233,233,giants,4949,3395,3-4th
234,234,g2v,7683,3395,5th
235,235,gbots,5435,3395,6th
236,236,natus-vincere,4608,2574,1st
237,237,mousesports,4494,2574,2nd
238,238,envy,5991,2574,3-4th
239,239,gambit,6651,2574,3-4th
240,240,heroic,7175,2574,5-6th
241,241,big,7532,2574,5-6th
242,242,north-academy,7713,2574,7-8th
243,243,rise-nation,7924,2574,7-8th
244,244,chosen5,6780,3398,1st
245,245,iraq,8601,3398,2nd
246,246,rvn,5167,3398,3-4th
247,247,lebanon,7046,3398,3-4th
248,248,cloud9,5752,3391,1st
249,249,unemployed-for-christmas,8598,3391,2nd
250,250,splyce,6301,3391,3-4th
251,251,soar,8384,3391,3-4th
252,252,torqued,5906,3391,5-8th
253,253,ghost,7801,3391,5-8th
254,254,gale-force,8181,3391,5-8th
255,255,gx,8372,3391,5-8th
256,256,fire-dragoon,7421,3351,1st
257,257,karnal,8599,3351,2nd
258,258,orange,5013,3351,3rd
259,259,jyp,7491,3351,4th
260,260,virtual-genesis,8205,3351,5-6th
261,261,metamorphic,8320,3351,5-6th
262,262,anthrax,7486,3351,7-8th
263,263,fallout,8584,3351,7-8th
264,264,sharks,8113,3397,1st
265,265,hexagone,7463,3397,2nd
266,266,havu,7865,3275,1st
267,267,passions,7124,3275,2nd
268,268,alientech,5524,3371,1st
269,269,hexagone,7463,3371,2nd
270,270,sharks,8113,3371,3-4th
271,271,heretics,8346,3371,3-4th
272,272,sj,8504,3370,1st
273,273,red-reserve,7613,3370,2nd
274,274,fightclub,7823,3370,3-4th
275,275,pokemon-fan-club,8597,3370,3-4th
276,276,spirit,7020,3387,1st
277,277,pride,6896,3387,2nd
278,278,teamasd,7819,3387,3-4th
279,279,bynie,8591,3387,3-4th
280,280,izako-boars,7681,3387,5-8th
281,281,spirit-academy,7900,3387,5-8th
282,282,seal,8361,3387,5-8th
283,283,lang0ds,8592,3387,5-8th
284,284,intz,6619,3377,1st
285,285,isurus,7653,3377,2nd
286,286,teleconjundia,8050,3377,3-4th
287,287,ivyaert,8576,3377,3-4th
288,288,dai-dai,7012,3377,5-8th
289,289,furia,8297,3377,5-8th
290,290,brasil-gaming-house,8411,3377,5-8th
291,291,ex-kitsune,8575,3377,5-8th
292,292,ground-zero,8536,3388,1st
293,293,masterminds,7967,3388,2nd
294,294,corvidae,6922,3388,3-4th
295,295,riotous,7129,3388,3-4th
296,296,fire-dragoon,7421,3350,1st
297,297,virtual-genesis,8205,3350,2nd
298,298,gundek,8585,3350,3rd
299,299,fallout,8584,3350,4th
300,300,signature,6774,3349,1st
301,301,nxl,5258,3349,2nd
302,302,imperium,7837,3349,3rd
303,303,utm,7655,3349,4th
304,304,hellraisers,5310,3224,1st
305,305,kinguin,6134,3224,2nd
306,306,goodjob,7820,3224,3-4th
307,307,avangar,8120,3224,3-4th
308,308,passions,7124,3224,5-6th
309,309,wasd,7668,3224,5-6th
310,310,tricked,4602,3224,7-8th
311,311,eclipse,7892,3224,7-8th
312,312,factory-assault,8117,3378,1st
313,313,en9my,7852,3378,2nd
314,314,brk,8579,3378,3rd
315,315,ingame,8578,3378,4th
316,316,russian-forces,8483,3115,1st
317,317,dynasty-fe,8001,3115,2nd
318,318,lego,8412,3115,3rd
319,319,romania-fe,8573,3115,4th
320,320,paradoks,7777,3115,5-6th
321,321,chocolates-beers,8304,3115,5-6th
322,322,norway-fe,8472,3115,7-8th
323,323,best-boniatos-ever,8522,3115,7-8th
324,324,ukraine,5144,3114,1st
325,325,godsent,6902,3114,2nd
326,326,space-soldiers,5929,3114,3rd
327,327,fnatic,4991,3114,4th
328,328,ago,8068,3114,5-8th
329,329,belgium,5140,3114,5-8th
330,330,wololos,7080,3114,5-8th
331,331,envy,5991,3114,5-8th
332,332,russia,5138,3114,9-12th
333,333,limitless,8441,3114,9-12th
334,334,noreg,8473,3114,9-12th
335,335,big,7532,3114,9-12th
336,336,nemiga,7969,3114,13-16th
337,337,endpoint,7234,3114,13-16th
338,338,virtuspro,5378,3114,13-16th
339,339,resistance,7497,3114,13-16th
340,340,fragsters,6855,3114,17-20th
341,341,quantum-bellator-fire,7367,3114,17-20th
342,342,gameagents,6652,3114,17-20th
343,343,north-academy,7713,3114,17-20th
344,344,valiance,8481,3295,1st
345,345,squared,7669,3295,2nd
346,346,kliktech,8127,3295,3rd
347,347,zonic,8401,3295,4th
348,348,sk,6137,2998,1st
349,349,astralis,6665,2998,2nd
350,350,faze,6667,2998,3rd
351,351,north,7533,2998,4th
352,352,g2,5995,2998,5th
353,353,nip,4411,2998,6th
354,354,vega-squadron,6094,3292,1st
355,355,ago,8068,3292,2nd
356,356,tyloo,4863,3292,3rd
357,357,flash,7660,3292,4th
358,358,cloud9,5752,3060,1st
359,359,optic,6615,3060,2nd
360,360,liquid,5973,3060,3rd
361,361,luminosity,6290,3060,4th
362,362,sk,6137,3060,5th
363,363,nrg,6673,3060,6th
364,364,renegades,6211,3060,7th
365,365,clg,5974,3060,8th
366,366,ghost,7801,3060,9th
367,367,immortals,7010,3060,10th
368,368,fnatic,4991,3059,1st
369,369,faze,6667,3059,2nd
370,370,mousesports,4494,3059,3rd
371,371,astralis,6665,3059,4th
372,372,nip,4411,3059,5th
373,373,g2,5995,3059,6th
374,374,virtuspro,5378,3059,7th
375,375,envy,5991,3059,8th
376,376,heroic,7175,3059,9th
377,377,godsent,6902,3059,10th
378,378,chiefs,6010,3049,1st
379,379,athletico,5680,3049,2nd
380,380,tainted-minds,7517,3049,3-4th
381,381,kings,8021,3049,3-4th
382,382,legacy,6468,3049,5-8th
383,383,grayhound,8008,3049,5-8th
384,384,corvidae,6922,3049,5-8th
385,385,dark-sided,7212,3049,5-8th
386,386,syf,5607,3049,9th
387,387,sin,8321,3049,10th
388,388,riotous,7129,3049,11th
389,389,seadoggs,8435,3049,12th
390,390,conspiracy,8436,3049,13th
391,391,avant,5293,3049,14th
392,392,masterminds,7967,3049,15th
393,393,noxide,7594,3049,16th
394,394,funkd,7974,3049,17th
395,395,sublife,8568,3363,1st
396,396,adaptation,8342,3363,2nd
397,397,ambush,7674,3363,3-4th
398,398,main-street,7714,3363,3-4th
399,399,bbsp,7751,3363,5-8th
400,400,odense,8010,3363,5-8th
401,401,hs-p-lager,8286,3363,5-8th
402,402,vulture,8427,3363,5-8th
403,403,seal,8361,3367,1st
404,404,spirit-academy,7900,3367,2nd
405,405,insaneby,8402,3367,3-4th
406,406,mans-not-hot,8543,3367,3-4th
407,407,epiphany-bolt,6220,3367,5-8th
408,408,5frags,7251,3367,5-8th
409,409,ha-masse,7472,3367,5-8th
410,410,goodjob,7820,3367,5-8th
411,411,hafnet,8125,3335,1st
412,412,oversports,8516,3335,2nd
413,413,aeon,7699,3335,3rd
414,414,evilvice,8366,3335,4th
415,415,passions,7124,3276,1-2nd
416,416,havu,7865,3276,1-2nd
417,417,acapella,8425,3276,3-4th
418,418,toxic,8490,3276,3-4th
419,419,hasselsnok,8279,3276,5th
