,matchcode,team,map,priority
0,2311540,Bpro,Mirage,5
1,2311540,Outlaws,Nuke,6
2,2311519,Bpro,Mirage,5
3,2311519,TTFU,Inferno,6
4,2311518,Bojestvata,Cobblestone,5
5,2311518,Outlaws,Train,6
6,2311522,fightclub,Mirage,3
7,2311522,Atleterna,Inferno,4
8,2311521,fightclub,Cache,3
9,2311521,Crowns,Train,4
10,2311520,Atleterna,Inferno,3
11,2311520,#FREEIBP,Overpass,4
12,2311513,fightclub,Mirage,3
13,2311513,Skjuta Hess,Cobblestone,4
14,2311512,PopcornPlokker$,Cache,3
15,2311512,Crowns,Train,4
16,2311510,Atleterna,Nuke,3
17,2311510,Red Reserve,Mirage,4
18,2311511,Refuse Academy,Cache,3
19,2311511,#FREEIBP,Overpass,4
20,2311502,BOOT-d[S],Cache,3
21,2311502,ViCi,Overpass,4
22,2311501,BOOT-d[S],Train,3
23,2311501,Wings.Blue,Inferno,4
24,2311500,MVP Project,Overpass,3
25,2311500,ViCi,Cobblestone,4
26,2311499,ViCi,Cobblestone,3
27,2311499,Wings.Blue,Cache,4
28,2311498,BOOT-d[S],Train,3
29,2311498,MVP Project,Inferno,4
30,2311497,MVP Project,Mirage,3
31,2311497,Wings.Blue,Inferno,4
32,2311371,Vega Squadron,Train,3
33,2311371,Tengri,Inferno,4
34,2311370,Vega Squadron,Cache,3
35,2311370,pro100,Mirage,4
36,2311369,Vega Squadron,Cache,3
37,2311369,Tengri,Overpass,4
38,2311368,pro100,Nuke,3
39,2311368,Quantum Bellator Fire,Cobblestone,4
40,2311367,Vega Squadron,Cache,3
41,2311367,pro100,Nuke,4
42,2311366,Quantum Bellator Fire,Train,3
43,2311366,Tengri,Mirage,4
44,2311361,Spartak,Mirage,3
45,2311361,pro100,Nuke,4
46,2311360,Spirit,Nuke,3
47,2311360,Spartak,Train,4
48,2311356,Spirit Academy,Inferno,3
49,2311356,Tengri,Mirage,4
50,2311355,Nemiga,Overpass,3
51,2311355,Tengri,Mirage,4
52,2311352,Spirit Academy,Cobblestone,3
53,2311352,Nemiga,Mirage,4
54,2311444,Immortals,Mirage,3
55,2311444,Cloud9,Inferno,4
56,2311443,Cloud9,Inferno,3
57,2311443,CLG,Cache,4
58,2311443,Cloud9,Mirage,6
59,2311442,CLG,Train,3
60,2311442,Luminosity,Cache,4
61,2311442,CLG,Cobblestone,6
62,2311441,Cloud9,Train,3
63,2311441,Immortals,Cache,4
64,2311441,Cloud9,Cobblestone,6
65,2311440,Immortals,Overpass,3
66,2311440,CLG,Train,4
67,2311440,Immortals,Cobblestone,6
68,2311439,Cloud9,Mirage,3
69,2311439,Luminosity,Cache,4
70,2311439,Cloud9,Nuke,6
71,2311438,paiN,Overpass,3
72,2311438,CLG,Mirage,4
73,2311438,paiN,Cache,6
74,2311437,paiN,Overpass,3
75,2311437,Misfits,Train,4
76,2311437,paiN,Mirage,6
77,2311435,NRG,Cobblestone,3
78,2311435,Luminosity,Train,4
79,2311435,NRG,Cache,6
80,2311434,compLexity,Train,3
81,2311434,NRG,Inferno,4
82,2311434,compLexity,Cobblestone,6
83,2311542,Ghost,Cobblestone,3
84,2311542,Rise Nation,Mirage,4
85,2311350,Ghost,Cobblestone,3
86,2311350,RONIN,Inferno,4
87,2311206,Ghost,Cobblestone,3
88,2311206,Miami Flamingos,Mirage,4
89,2311126,Rise Nation,Cache,3
90,2311126,RONIN,Mirage,4
91,2311154,Ghost,Train,3
92,2311154,bamboozled,Mirage,4
93,2310451,Ghost,Train,3
94,2310451,RONIN,Inferno,4
95,2310888,Miami Flamingos,Overpass,3
96,2310888,Morior Invictus,Train,4
97,2310453,bamboozled,Cache,3
98,2310453,GlockWork,Cobblestone,4
99,2310452,Eclipse,Train,3
100,2310452,Miami Flamingos,Cache,4
101,2310858,Morior Invictus,Train,3
102,2310858,BiG MiSTAKE,Cache,4
103,2310634,LunatiK,Inferno,3
104,2310634,BiG MiSTAKE,Nuke,4
105,2310633,Doxxa,Cache,3
106,2310633,Synthetik,Mirage,4
107,2310454,Morior Invictus,Train,3
108,2310454,Hyper,Mirage,4
109,2310507,Doxxa,Train,3
110,2310507,dans Ta yeule,Inferno,4
111,2310336,Just A Glimpse,Nuke,3
112,2310336,GlockWork,Cobblestone,4
113,2310335,Eclipse,Mirage,3
114,2310335,BiG MiSTAKE,Overpass,4
115,2310333,RONIN,Cache,3
116,2310333,Synthetik,Inferno,4
117,2310334,Miami Flamingos,Cache,3
118,2310334,Hyper,Overpass,4
119,2310332,Ghost,Cobblestone,3
120,2310332,bamboozled,Mirage,4
121,2310337,Morior Invictus,Train,3
122,2310337,Alpha Nerds,Cache,4
123,2310331,Eclipse,Mirage,3
124,2310331,GlockWork,Cobblestone,4
125,2310330,Miami Flamingos,Inferno,3
126,2310330,dans Ta yeule,Overpass,4
127,2310325,Just A Glimpse,Cache,3
128,2310325,BiG MiSTAKE,Mirage,4
129,2310329,Morior Invictus,Train,3
130,2310329,Synthetik,Cache,4
131,2310328,RONIN,Mirage,3
132,2310328,Alpha Nerds,Cobblestone,4
133,2310327,LunatiK,Mirage,3
134,2310327,bamboozled,Cache,4
135,2310326,Ghost,Cobblestone,3
136,2310326,Debut,Inferno,4
137,2311509,TYLOO,Mirage,5
138,2311509,ViCi,Cobblestone,6
139,2311503,ViCi,Cobblestone,5
140,2311503,UYA,Mirage,6
141,2311495,TYLOO,Mirage,5
142,2311495,Flash,Cobblestone,6
143,2311456,ViCi,Nuke,5
144,2311456,LGD,Cobblestone,6
145,2311494,UYA,Mirage,5
146,2311494,Eclipse,Overpass,6
147,2311454,TYLOO,Mirage,5
148,2311454,New4,Cache,6
149,2311455,Flash,Cache,5
150,2311455,BOOT,Mirage,6
151,2311404,UYA,Overpass,5
152,2311404,T.O.T,Cache,6
153,2311405,Eclipse,Nuke,5
154,2311405,AE,Mirage,6
155,2311406,EMP,Cache,5
156,2311406,LGD,Cobblestone,6
157,2311403,ViCi,Cobblestone,5
158,2311403,rTE,Mirage,6
159,2311402,BOOT,Mirage,5
160,2311402,FIVE,Inferno,6
161,2311401,Flash,Cobblestone,5
162,2311401,Invictus,Inferno,6
163,2311400,New4,Inferno,5
164,2311400,Lynx,Overpass,6
165,2311399,TYLOO,Cache,5
166,2311399,SP,Mirage,6
167,2311472,BIG,Cobblestone,3
168,2311472,PENTA,Train,4
169,2311471,LDLC,Inferno,3
170,2311471,Red Reserve,Train,4
171,2311428,LDLC,Overpass,3
172,2311428,PENTA,Inferno,4
173,2311427,Red Reserve,Mirage,3
174,2311427,BIG,Inferno,4
175,2311264,Red Reserve,Overpass,3
176,2311264,PENTA,Inferno,4
177,2311257,Kinguin,Inferno,3
178,2311257,Outlaws,Train,4
179,2311265,Kinguin,Cobblestone,3
180,2311265,Tricked,Inferno,4
181,2311250,PRIDE,Nuke,3
182,2311250,North Academy,Train,4
183,2311263,Outlaws,Overpass,3
184,2311263,Red Reserve,Cobblestone,4
185,2311251,Singularity,Mirage,3
186,2311251,North Academy,Nuke,4
187,2311261,Kinguin,Overpass,3
188,2311261,Red Reserve,Mirage,4
189,2311260,Outlaws,Train,3
190,2311260,Tricked,Cobblestone,4
191,2311259,Outlaws,Overpass,3
192,2311259,PENTA,Inferno,4
193,2311258,PENTA,Inferno,3
194,2311258,Kinguin,Train,4
195,2311256,Tricked,Overpass,3
196,2311256,PENTA,Cache,4
197,2311262,Tricked,Nuke,3
198,2311262,Red Reserve,Train,4
199,2311255,Singularity,Nuke,3
200,2311255,LDLC,Overpass,4
201,2311254,BIG,Mirage,3
202,2311254,North Academy,Train,4
203,2311252,PRIDE,Train,3
204,2311252,BIG,Inferno,4
205,2311253,Singularity,Nuke,3
206,2311253,PRIDE,Cache,4
207,2311208,BIG,Inferno,3
208,2311208,Singularity,Overpass,4
209,2311171,PRIDE,Train,3
210,2311171,LDLC,Inferno,4
211,2311170,LDLC,Cache,3
212,2311170,North Academy,Train,4
213,2311152,LDLC,Inferno,3
214,2311152,BIG,Train,4
215,2311313,Outlaws,Overpass,3
216,2311313,Singularity,Nuke,4
217,2311149,Singularity,Overpass,3
218,2311149,Epsilon,Inferno,4
219,2310920,Outlaws,Overpass,3
220,2310920,Singularity,Mirage,4
221,2311116,KPI,Overpass,3
222,2311116,Epsilon,Cache,4
223,2310930,KPI,Train,3
224,2310930,Chrome,Mirage,4
225,2310919,Epsilon,Cache,3
226,2310919,G2V,Mirage,4
227,2310704,KPI,Nuke,3
228,2310704,x6tence,Inferno,4
229,2310632,Singularity,Overpass,3
230,2310632,Epsilon,Inferno,4
231,2310817,Nexus,Cache,3
232,2310817,G2V,Mirage,4
233,2310631,Outlaws,Overpass,3
234,2310631,Chrome,Mirage,4
235,2310629,Nexus,Cache,3
236,2310629,Playing Ducks,Mirage,4
