,matchcode,team,map,priority
0,2311540,Bpro,Overpass,1
1,2311540,Outlaws,Cache,2
2,2311540,Bpro,Train,3
3,2311540,Outlaws,Inferno,4
4,2311519,Bpro,Train,1
5,2311519,TTFU,Overpass,2
6,2311519,Bpro,Nuke,3
7,2311519,TTFU,Cache,4
8,2311518,Bojestvata,Overpass,1
9,2311518,Outlaws,Cache,2
10,2311518,Bojestvata,Inferno,3
11,2311518,Outlaws,Mirage,4
12,2311522,fightclub,Nuke,1
13,2311522,Atleterna,Cache,2
14,2311522,fightclub,Overpass,5
15,2311522,Atleterna,Cobblestone,6
16,2311521,fightclub,Nuke,1
17,2311521,Crowns,Mirage,2
18,2311521,fightclub,Inferno,5
19,2311521,Crowns,Overpass,6
20,2311520,Atleterna,Train,1
21,2311520,#FREEIBP,Nuke,2
22,2311520,Atleterna,Cache,5
23,2311520,#FREEIBP,Cobblestone,6
24,2311513,fightclub,Overpass,1
25,2311513,Skjuta Hess,Inferno,2
26,2311513,fightclub,Nuke,5
27,2311513,Skjuta Hess,Train,6
28,2311512,PopcornPlokker$,Nuke,1
29,2311512,Crowns,Mirage,2
30,2311512,PopcornPlokker$,Inferno,5
31,2311512,Crowns,Overpass,6
32,2311510,Atleterna,Overpass,1
33,2311510,Red Reserve,Inferno,2
34,2311510,Atleterna,Train,5
35,2311510,Red Reserve,Cobblestone,6
36,2311511,Refuse Academy,Train,1
37,2311511,#FREEIBP,Inferno,2
38,2311511,Refuse Academy,Nuke,5
39,2311511,#FREEIBP,Cobblestone,6
40,2311502,BOOT-d[S],Cobblestone,1
41,2311502,ViCi,Inferno,2
42,2311502,BOOT-d[S],Nuke,5
43,2311502,ViCi,Train,6
44,2311501,BOOT-d[S],Cobblestone,1
45,2311501,Wings.Blue,Nuke,2
46,2311501,BOOT-d[S],Mirage,5
47,2311501,Wings.Blue,Overpass,6
48,2311500,MVP Project,Nuke,1
49,2311500,ViCi,Inferno,2
50,2311500,MVP Project,Train,5
51,2311500,ViCi,Cache,6
52,2311499,ViCi,Inferno,1
53,2311499,Wings.Blue,Nuke,2
54,2311499,ViCi,Overpass,5
55,2311499,Wings.Blue,Train,6
56,2311498,BOOT-d[S],Cobblestone,1
57,2311498,MVP Project,Nuke,2
58,2311498,BOOT-d[S],Overpass,5
59,2311498,MVP Project,Cache,6
60,2311497,MVP Project,Train,1
61,2311497,Wings.Blue,Cobblestone,2
62,2311497,MVP Project,Nuke,5
63,2311497,Wings.Blue,Overpass,6
64,2311371,Vega Squadron,Cobblestone,1
65,2311371,Tengri,Nuke,2
66,2311371,Tengri,Cache,5
67,2311371,Vega Squadron,Mirage,6
68,2311370,Vega Squadron,Cobblestone,1
69,2311370,pro100,Train,2
70,2311370,pro100,Overpass,5
71,2311370,Vega Squadron,Inferno,6
72,2311369,Vega Squadron,Cobblestone,1
73,2311369,Tengri,Nuke,2
74,2311369,Tengri,Train,5
75,2311369,Vega Squadron,Inferno,6
76,2311368,pro100,Train,1
77,2311368,Quantum Bellator Fire,Overpass,2
78,2311368,Quantum Bellator Fire,Cache,5
79,2311368,pro100,Inferno,6
80,2311367,Vega Squadron,Cobblestone,1
81,2311367,pro100,Train,2
82,2311367,pro100,Inferno,5
83,2311367,Vega Squadron,Overpass,6
84,2311366,Quantum Bellator Fire,Overpass,1
85,2311366,Tengri,Nuke,2
86,2311366,Tengri,Cobblestone,5
87,2311366,Quantum Bellator Fire,Cache,6
88,2311361,Spartak,Cache,1
89,2311361,pro100,Train,2
90,2311361,pro100,Inferno,5
91,2311361,Spartak,Overpass,6
92,2311360,Spirit,Cache,1
93,2311360,Spartak,Cobblestone,2
94,2311360,Spartak,Overpass,5
95,2311360,Spirit,Mirage,6
96,2311359,pro100,Train,1
97,2311359,Quantum Bellator Fire,Nuke,2
98,2311359,pro100,Inferno,3
99,2311359,Quantum Bellator Fire,Overpass,4
100,2311359,pro100,Cobblestone,5
101,2311359,Quantum Bellator Fire,Cache,6
102,2311358,Spartak,Nuke,1
103,2311358,pro100,Train,2
104,2311358,Spartak,Overpass,3
105,2311358,pro100,Inferno,4
106,2311358,Spartak,Cache,5
107,2311358,pro100,Mirage,6
108,2311357,Spirit,Train,1
109,2311357,Quantum Bellator Fire,Nuke,2
110,2311357,Spirit,Mirage,3
111,2311357,Quantum Bellator Fire,Overpass,4
112,2311357,Spirit,Cache,5
113,2311357,Quantum Bellator Fire,Inferno,6
114,2311356,Spirit Academy,Cobblestone,1
115,2311356,Tengri,Nuke,2
116,2311356,Tengri,Train,5
117,2311356,Spirit Academy,Cache,6
118,2311355,Nemiga,Cache,1
119,2311355,Tengri,Nuke,2
120,2311355,Tengri,Cobblestone,5
121,2311355,Nemiga,Inferno,6
122,2311354,Vega Squadron,Cobblestone,1
123,2311354,Spirit Academy,Cache,2
124,2311354,Vega Squadron,Inferno,3
125,2311354,Spirit Academy,Overpass,4
126,2311354,Vega Squadron,Mirage,5
127,2311354,Spirit Academy,Train,6
128,2311353,Tengri,Train,1
129,2311353,Vega Squadron,Cobblestone,2
130,2311353,Tengri,Cache,3
131,2311353,Vega Squadron,Overpass,4
132,2311353,Tengri,Nuke,5
133,2311353,Vega Squadron,Inferno,6
134,2311352,Spirit Academy,Overpass,1
135,2311352,Nemiga,Inferno,2
136,2311352,Spirit Academy,Cache,5
137,2311352,Nemiga,Nuke,6
138,2311444,Immortals,Nuke,1
139,2311444,Cloud9,Overpass,2
140,2311444,Cloud9,Cobblestone,5
141,2311444,Immortals,Cache,6
142,2311443,Cloud9,Cobblestone,1
143,2311443,CLG,Nuke,2
144,2311443,CLG,Train,5
145,2311442,CLG,Nuke,1
146,2311442,Luminosity,Mirage,2
147,2311442,Luminosity,Inferno,5
148,2311441,Cloud9,Overpass,1
149,2311441,Immortals,Nuke,2
150,2311441,Immortals,Inferno,5
151,2311440,Immortals,Nuke,1
152,2311440,CLG,Inferno,2
153,2311440,CLG,Mirage,5
154,2311439,Cloud9,Overpass,1
155,2311439,Luminosity,Inferno,2
156,2311439,Luminosity,Cobblestone,5
157,2311438,paiN,Inferno,1
158,2311438,CLG,Nuke,2
159,2311438,CLG,Train,5
160,2311437,paiN,Inferno,1
161,2311437,Misfits,Cobblestone,2
162,2311437,Misfits,Nuke,5
163,2311436,Cloud9,Cobblestone,1
164,2311436,CLG,Nuke,2
165,2311436,Cloud9,Cache,3
166,2311436,CLG,Inferno,4
167,2311436,Cloud9,Train,5
168,2311436,CLG,Overpass,6
169,2311432,Misfits,Cobblestone,1
170,2311432,CLG,Nuke,2
171,2311432,Misfits,Train,3
172,2311432,CLG,Overpass,4
173,2311432,Misfits,Mirage,5
174,2311432,CLG,Inferno,6
175,2311431,paiN,Inferno,1
176,2311431,Cloud9,Cache,2
177,2311431,paiN,Cobblestone,3
178,2311431,Cloud9,Overpass,4
179,2311431,paiN,Nuke,5
180,2311431,Cloud9,Mirage,6
181,2311435,NRG,Overpass,1
182,2311435,Luminosity,Inferno,2
183,2311435,Luminosity,Mirage,5
184,2311434,compLexity,Overpass,1
185,2311434,NRG,Nuke,2
186,2311434,NRG,Cache,5
187,2311433,Luminosity,Inferno,1
188,2311433,Immortals,Nuke,2
189,2311433,Luminosity,Cobblestone,3
190,2311433,Immortals,Train,4
191,2311433,Luminosity,Mirage,5
192,2311433,Immortals,Cache,6
193,2311430,NRG,Overpass,1
194,2311430,Luminosity,Inferno,2
195,2311430,NRG,Train,3
196,2311430,Luminosity,Mirage,4
197,2311430,NRG,Nuke,5
198,2311430,Luminosity,Cobblestone,6
199,2311429,compLexity,Overpass,1
200,2311429,Immortals,Nuke,2
201,2311429,compLexity,Mirage,3
202,2311429,Immortals,Train,4
203,2311429,compLexity,Cobblestone,5
204,2311429,Immortals,Inferno,6
205,2311542,Ghost,Cache,1
206,2311542,Rise Nation,Inferno,2
207,2311350,Ghost,Cache,1
208,2311350,RONIN,Train,2
209,2311206,Ghost,Cache,1
210,2311206,Miami Flamingos,Train,2
211,2311126,Rise Nation,Inferno,1
212,2311126,RONIN,Nuke,2
213,2311154,Ghost,Cache,1
214,2311154,bamboozled,Nuke,2
215,2310451,Ghost,Cache,1
216,2310451,RONIN,Cobblestone,2
217,2310888,Miami Flamingos,Cobblestone,1
218,2310888,Morior Invictus,Inferno,2
219,2310453,bamboozled,Nuke,1
220,2310453,GlockWork,Overpass,2
221,2310452,Eclipse,Inferno,1
222,2310452,Miami Flamingos,Cobblestone,2
223,2310858,Morior Invictus,Inferno,1
224,2310858,BiG MiSTAKE,Cobblestone,2
225,2310634,LunatiK,Overpass,1
226,2310634,BiG MiSTAKE,Cobblestone,2
227,2310633,Doxxa,Nuke,1
228,2310633,Synthetik,Overpass,2
229,2310454,Morior Invictus,Inferno,1
230,2310454,Hyper,Cobblestone,2
231,2310507,Doxxa,Nuke,1
232,2310507,dans Ta yeule,Mirage,2
233,2310336,Just A Glimpse,Train,1
234,2310336,GlockWork,Cache,2
235,2310335,Eclipse,Inferno,1
236,2310335,BiG MiSTAKE,Cobblestone,2
237,2310333,RONIN,Nuke,1
238,2310333,Synthetik,Train,2
239,2310334,Miami Flamingos,Train,1
240,2310334,Hyper,Cobblestone,2
241,2310332,Ghost,Overpass,1
242,2310332,bamboozled,Train,2
243,2310337,Morior Invictus,Inferno,1
244,2310337,Alpha Nerds,Nuke,2
245,2310331,Eclipse,Inferno,1
246,2310331,GlockWork,Overpass,2
247,2310330,Miami Flamingos,Cobblestone,1
248,2310330,dans Ta yeule,Cache,2
249,2310325,Just A Glimpse,Train,1
250,2310325,BiG MiSTAKE,Cobblestone,2
251,2310329,Morior Invictus,Inferno,1
252,2310329,Synthetik,Cobblestone,2
253,2310328,RONIN,Nuke,1
254,2310328,Alpha Nerds,Inferno,2
255,2310327,LunatiK,Overpass,1
256,2310327,bamboozled,Nuke,2
257,2310326,Ghost,Overpass,1
258,2310326,Debut,Nuke,2
259,2311509,TYLOO,Nuke,1
260,2311509,ViCi,Inferno,2
261,2311509,TYLOO,Cache,3
262,2311509,ViCi,Overpass,4
263,2311503,ViCi,Cache,1
264,2311503,UYA,Nuke,2
265,2311503,ViCi,Inferno,3
266,2311503,UYA,Train,4
267,2311495,TYLOO,Inferno,1
268,2311495,Flash,Cache,2
269,2311495,TYLOO,Nuke,3
270,2311495,Flash,Overpass,4
271,2311456,ViCi,Inferno,1
272,2311456,LGD,Overpass,2
273,2311456,ViCi,Cache,3
274,2311456,LGD,Mirage,4
275,2311494,UYA,Nuke,1
276,2311494,Eclipse,Cache,2
277,2311494,UYA,Train,3
278,2311494,Eclipse,Cobblestone,4
279,2311454,TYLOO,Nuke,1
280,2311454,New4,Cobblestone,2
281,2311454,TYLOO,Inferno,3
282,2311454,New4,Overpass,4
283,2311455,Flash,Nuke,1
284,2311455,BOOT,Cobblestone,2
285,2311455,Flash,Overpass,3
286,2311455,BOOT,Train,4
287,2311404,UYA,Nuke,1
288,2311404,T.O.T,Mirage,2
289,2311404,UYA,Inferno,3
290,2311404,T.O.T,Cobblestone,4
291,2311405,Eclipse,Cache,1
292,2311405,AE,Train,2
293,2311405,Eclipse,Cobblestone,3
294,2311405,AE,Overpass,4
295,2311406,EMP,Train,1
296,2311406,LGD,Mirage,2
297,2311406,EMP,Nuke,3
298,2311406,LGD,Overpass,4
299,2311403,ViCi,Inferno,1
300,2311403,rTE,Nuke,2
301,2311403,ViCi,Cache,3
302,2311403,rTE,Train,4
303,2311402,BOOT,Nuke,1
304,2311402,FIVE,Cobblestone,2
305,2311402,BOOT,Overpass,3
306,2311402,FIVE,Cache,4
307,2311401,Flash,Nuke,1
308,2311401,Invictus,Train,2
309,2311401,Flash,Cache,3
310,2311401,Invictus,Overpass,4
311,2311400,New4,Cobblestone,1
312,2311400,Lynx,Nuke,2
313,2311400,New4,Mirage,3
314,2311400,Lynx,Cache,4
315,2311399,TYLOO,Nuke,1
316,2311399,SP,Train,2
317,2311399,TYLOO,Inferno,3
318,2311399,SP,Overpass,4
319,2311472,BIG,Nuke,1
320,2311472,PENTA,Mirage,2
321,2311472,BIG,Inferno,5
322,2311472,PENTA,Overpass,6
323,2311471,LDLC,Mirage,1
324,2311471,Red Reserve,Nuke,2
325,2311471,LDLC,Cobblestone,5
326,2311471,Red Reserve,Cache,6
327,2311428,LDLC,Mirage,1
328,2311428,PENTA,Nuke,2
329,2311428,LDLC,Cache,5
330,2311428,PENTA,Cobblestone,6
331,2311427,Red Reserve,Cache,1
332,2311427,BIG,Nuke,2
333,2311427,Red Reserve,Train,5
334,2311427,BIG,Overpass,6
335,2311264,Red Reserve,Cache,1
336,2311264,PENTA,Nuke,2
337,2311264,Red Reserve,Cobblestone,5
338,2311264,PENTA,Mirage,6
339,2311257,Kinguin,Cobblestone,1
340,2311257,Outlaws,Cache,2
341,2311257,Kinguin,Overpass,5
342,2311257,Outlaws,Nuke,6
343,2311265,Kinguin,Nuke,1
344,2311265,Tricked,Cache,2
345,2311265,Kinguin,Overpass,5
346,2311265,Tricked,Mirage,6
347,2311250,PRIDE,Overpass,1
348,2311250,North Academy,Cobblestone,2
349,2311250,PRIDE,Inferno,5
350,2311250,North Academy,Mirage,6
351,2311263,Outlaws,Mirage,1
352,2311263,Red Reserve,Cache,2
353,2311263,Outlaws,Inferno,5
354,2311263,Red Reserve,Nuke,6
355,2311251,Singularity,Train,1
356,2311251,North Academy,Overpass,2
357,2311251,Singularity,Inferno,5
358,2311251,North Academy,Cobblestone,6
359,2311261,Kinguin,Cobblestone,1
360,2311261,Red Reserve,Cache,2
361,2311261,Kinguin,Inferno,5
362,2311261,Red Reserve,Nuke,6
363,2311260,Outlaws,Nuke,1
364,2311260,Tricked,Overpass,2
365,2311260,Outlaws,Cache,5
366,2311260,Tricked,Mirage,6
367,2311259,Outlaws,Cache,1
368,2311259,PENTA,Nuke,2
369,2311259,Outlaws,Mirage,5
370,2311259,PENTA,Train,6
371,2311258,PENTA,Nuke,1
372,2311258,Kinguin,Cobblestone,2
373,2311258,PENTA,Overpass,5
374,2311258,Kinguin,Mirage,6
375,2311256,Tricked,Inferno,1
376,2311256,PENTA,Nuke,2
377,2311256,Tricked,Mirage,5
378,2311256,PENTA,Cobblestone,6
379,2311262,Tricked,Mirage,1
380,2311262,Red Reserve,Inferno,2
381,2311262,Tricked,Cache,5
382,2311262,Red Reserve,Overpass,6
383,2311255,Singularity,Inferno,1
384,2311255,LDLC,Mirage,2
385,2311255,Singularity,Cache,5
386,2311255,LDLC,Train,6
387,2311254,BIG,Nuke,1
388,2311254,North Academy,Overpass,2
389,2311254,BIG,Cache,5
390,2311254,North Academy,Cobblestone,6
391,2311252,PRIDE,Overpass,1
392,2311252,BIG,Nuke,2
393,2311252,PRIDE,Cobblestone,5
394,2311252,BIG,Mirage,6
395,2311253,Singularity,Train,1
396,2311253,PRIDE,Overpass,2
